fen,target_ks,target_total,our_total_base,our_ks_base,tier,phase_bucket,split
3r1r2/p5k1/1pnpP2p/6p1/2P3P1/4P3/P1B1K1P1/3R3R w - - 0 1,0.12,3.151,3.031,0.0,quiet_neg,endgame,train
3r4/3pkpp1/4p3/2p3q1/6r1/1P6/P5B1/2R1RQK1 b - - 0 1,-1.56,1.092,3.552,0.9,attack,midgame,train
4b2k/1q2bprp/pr6/3pP3/2pP4/P4N2/1P3RPQ/3N1RK1 b - - 0 1,-0.57,-0.873,-0.303,0.0,mid,opening,train
4r1k1/R5p1/4b2p/1p2P3/7P/P1nP4/6PK/4R3 w - - 0 1,0.01,0.336,0.326,0.0,quiet_neg,endgame,train
5r1k/6p1/p1n1pr1p/2P1p2q/P5RN/4Q2P/5PP1/2R4K w - - 0 1,0.92,0.944,0.024,0.0,attack,midgame,train
6k1/1b3p2/p2q2p1/P2Pp2p/1p2Pb1P/1Br5/Q4PP1/3RN1K1 b - - 0 1,-0.36,-0.842,-0.482,0.0,mid,midgame,train
6k1/q4p2/2b1p2p/4Pp2/pP3N2/Q4PP1/6KP/8 b - - 0 1,-1.15,-1.731,-0.581,0.0,attack,endgame,val
8/3q1pk1/3p4/2pB2p1/P2n4/1P4BP/6P1/4R1K1 b - - 0 1,0.29,-1.426,-1.716,0.0,quiet_neg,endgame,train
8/p1rb3k/1p1b1p1p/3q1p2/1P1P4/P1n1PPP1/3N3P/R1R2Q1K b - - 0 1,-0.27,0.307,0.577,0.0,quiet_neg,midgame,train
r1b2rk1/4bpp1/7p/1B1pP3/3B4/8/1PP3PP/2KR3R b - - 0 1,-1.53,-0.363,1.167,0.0,attack,endgame,train
r1br2k1/p4p2/1qp4p/1p2P1p1/6n1/5NP1/PP2QN1P/R1B2BK1 b - - 0 1,-0.52,1.805,2.325,0.0,mid,opening,train
r4qk1/1p3rbp/3p1np1/2pPp3/b1P5/P1NBBPP1/3Q1R1P/4R1K1 w - - 0 1,0.24,1.658,1.418,0.0,quiet_neg,opening,val
r4rk1/ppp1qp1p/1n4p1/4P3/6Q1/1N6/PP3PPP/2R1R1K1 b - - 0 1,0.58,1.744,1.164,0.0,mid,midgame,train
1k2r2r/1bq2p2/pn4p1/3pP3/pbpN1P1p/4QN1B/1P4PP/2RR3K b - - 0 1,0.66,-1.561,-2.221,0.0,mid,opening,train
1r1r4/R3pk2/4n1p1/2p2p2/8/4B3/Pn2BPPP/5RK1 b - - 0 1,0.54,0.923,0.383,0.0,mid,endgame,train
1r6/1q2b1k1/pn1pb3/B1p1p1pp/2P1Pp2/NP3P1P/1R2Q1PN/6K1 b - - 0 1,0.18,0.529,0.349,0.0,quiet_neg,midgame,val
2b5/2p1r2k/1pP2q1p/p2Pp3/4R3/1PN1Q2P/P2KP3/8 w - - 0 1,-0.19,1.487,1.677,0.0,quiet_neg,midgame,train
2r3k1/p1r1qpb1/1p2p1p1/nR2P3/P2B4/2P5/3NQPP1/R5K1 w - - 0 1,0.3,1.007,0.707,0.0,mid,opening,train
2rr4/Bp3k1p/5pp1/8/2n3b1/P1N5/1PP2PPP/R1R3K1 w - - 0 1,0.43,2.044,1.614,0.0,mid,endgame,train
3r2k1/2q2ppp/p1p1bn2/1p2b1B1/4P3/1PN2B1P/P1Q2PP1/2R4K w - - 0 1,-0.2,-1.375,-1.175,0.0,quiet_neg,midgame,train
3rb1k1/4qpbp/1p2p1p1/1P3n2/Q1P2p2/2N2B1P/6PK/1NR2R2 b - - 0 1,-0.55,0.114,0.664,0.0,mid,opening,train
4k2r/1r2np2/2q1p1p1/p2pP3/n1pP1PP1/1pP1NNK1/1P2Q3/R4R2 w k - 0 1,-0.61,-2.65,-2.04,0.0,mid,opening,train
4r1k1/3q1pp1/3p1n2/rp2nP1p/3B1R2/2N5/2PQ2PP/4R1K1 w - - 0 1,0.21,-0.236,-0.446,0.0,quiet_neg,opening,train
5r1k/2p3q1/1p1npr2/pPn1N1pp/P1PN4/R4PPP/4Q1K1/3R4 w - - 0 1,0.36,-0.438,-0.798,0.0,mid,opening,train
6k1/3pbpp1/p3p2n/r3P2p/2rBNP2/2P3PP/P3R3/3R3K b - - 0 1,-0.28,0.426,0.706,0.0,quiet_neg,endgame,train
8/1q6/3pn1k1/2p1p1p1/2P1P1Pp/1rBP1p1P/2Q2P2/R5K1 b - - 0 1,-0.02,1.806,1.826,0.0,quiet_neg,midgame,train
q3n3/2rp1ppk/2b4p/4p2P/p3P3/Pr2NBP1/1P1R1PK1/2R1Q3 w - - 0 1,-0.37,0.313,0.683,0.0,mid,opening,val
r1b2rk1/pp3pp1/2np2qp/b1p1p3/2P1P3/2NPB1P1/PP3PBP/R2Q1RK1 w - - 0 1,-0.41,0.31,0.72,0.0,mid,opening,val
r2q1bk1/1p1brpp1/p1np1n1p/4p3/PN2P3/1QPP1N1P/B2B1PP1/R3R1K1 w - - 0 1,0.56,1.827,1.267,0.0,mid,opening,train
r2qk2r/1bpnnpbp/p2pp1p1/4P3/Pp1P1P2/2NBBN2/1PP3PP/R2Q1RK1 w kq - 0 1,0.18,1.743,1.563,0.0,quiet_neg,opening,val
r3r1k1/1b1nq2p/p2pNppQ/1ppP3n/P3P3/7P/1PB2PP1/R3RNK1 b - - 0 1,1.23,1.712,0.482,0.0,attack,opening,train
r3r3/2P4k/3Bbbqp/ppQ2pp1/4pPP1/1P6/P1R2N1P/3R2K1 w - - 0 1,-0.15,-0.271,-0.121,0.0,quiet_neg,opening,train
r4rk1/ppp3b1/3p1q1p/3Ppn2/P1P3n1/2NQ1N2/1P1B1PP1/R3R1K1 w - - 0 1,0.13,1.703,1.573,0.0,quiet_neg,opening,train
6k1/p2pp2p/bp4n1/q1r4R/1RP1P3/2P2B2/P2Q2P1/4K3 w - - 0 1,0.73,2.949,4.019,1.8,mid,midgame,train
5r1k/5rp1/p1n1p1qp/2P1p3/P7/4QN1P/5PP1/2R1R2K w - - 0 1,-0.02,0.621,0.641,0.0,quiet_neg,midgame,train
1q1k2r1/p2bn3/1r3n2/2QPp1Rp/2P4P/2PB1P2/2K1N3/R7 w - - 0 1,0.15,-1.55,1.36,3.06,quiet_neg,opening,val
4r1k1/1pb3p1/p1p3q1/3n4/1P1P4/P3pRP1/4Q1K1/2B2R2 b - - 0 1,-0.89,-2.377,-3.467,-1.98,attack,midgame,train
3q1r1k/5ppp/1pR1pn2/p7/B1PP4/P3QP1P/5PK1/8 w - - 0 1,-0.33,-2.48,-2.15,0.0,mid,midgame,train
q5k1/p2p2bp/1p1p2r1/2p1np2/6p1/1PP2PP1/P2PQ1KP/4R1NR b - - 0 1,-0.16,-0.556,-1.836,-1.44,quiet_neg,midgame,train
1r5r/1p6/p2p2p1/P2P1pkq/1R1Qp3/2P1P1bP/1P2R3/5BK1 b - - 0 1,-1.85,0.366,2.216,0.0,attack,midgame,train
6rk/5q1p/p2p4/P1nP1p2/2B2N1Q/1Pb1pPR1/7P/7K w - - 0 1,1.93,1.564,1.614,1.98,attack,midgame,train
r2r2k1/5p1p/6nQ/ppq5/2p1P3/P4P2/1P4PP/R1N2R1K b - - 0 1,0.33,0.228,-0.102,0.0,mid,midgame,train
8/3k4/2p5/3r4/1PQBp1pq/4P3/P4PpP/6K1 w - - 0 1,-1.0,-1.304,-0.304,0.0,attack,endgame,train
r3r1k1/2q3p1/p2p1p2/3P2p1/n2B2P1/8/P1PQ3P/K2R1R2 b - - 0 1,0.11,0.45,0.34,0.0,quiet_neg,midgame,train
1rb2rk1/2p3pp/p1p1p3/2N5/8/1PQ2PPq/P3P3/R2R2K1 w - - 0 1,-4.57,-5.545,-4.395,-3.42,attack,midgame,train
5b1k/r7/Pq5p/2p5/3p3N/R2Q2P1/5PK1/8 w - - 0 1,1.44,-0.352,-0.322,1.47,attack,midgame,val
7k/p4r2/b3p2q/Pp1p2pp/3P2p1/1P2P1P1/2Q2PBP/2R3K1 w - - 0 1,0.78,2.022,1.242,0.0,attack,midgame,train
3r1q1k/6pp/4R3/8/n2p1PB1/3PpQP1/4P1K1/8 w - - 0 1,-0.18,-2.378,-2.198,0.0,quiet_neg,midgame,train
r3r1k1/1b3p1p/3b2p1/p2Pp1P1/1pq1B3/4B3/PPP3QP/1K1R1R2 w - - 0 1,0.21,0.598,0.388,0.0,quiet_neg,opening,train
2r1r3/1Rpp2pk/2n4p/p1PNqp2/P3p3/2P1P1P1/4QP1P/3R2K1 w - - 0 1,-0.12,0.904,1.024,0.0,quiet_neg,midgame,train
1n2r1k1/1q4pp/4pp2/p1R5/Pp1Q4/4B2P/1P3PP1/6K1 w - - 0 1,0.64,-0.277,-0.917,0.0,mid,midgame,train
3r2k1/5pb1/5qpp/1Np5/8/1P3P1P/1PQ3P1/1K5R b - - 0 1,-1.71,-1.33,0.38,0.0,attack,midgame,train
r3r1k1/5pp1/p2p3p/2nPP3/p5q1/2P1RNP1/2Q2P1P/2R3K1 b - - 0 1,-0.32,-0.306,0.014,0.0,mid,midgame,train
1b3rk1/5ppp/2p2rq1/1p1n4/3P2P1/1BPbBP2/1P1N2QP/R3R1K1 w - - 0 1,-1.43,-0.63,0.8,0.0,attack,opening,train
1r1r2n1/1pb3pk/p1p3bp/4Np2/3P2P1/2N1RB1P/PP3PK1/4R3 w - - 0 1,-0.13,-0.391,-0.261,0.0,quiet_neg,midgame,train
1r4k1/6pp/2b3n1/Nnq1p3/4Pp2/3B2PP/4QP1K/2B1R3 w - - 0 1,1.44,0.197,-1.243,0.0,attack,midgame,train
2k5/1p1nbqpp/pPprp1b1/P1p1p3/2P1P2N/4BP1P/1Q1N2P1/3R2K1 w - - 0 1,0.75,0.018,0.528,1.26,attack,midgame,train
2n2rk1/p2b2bp/3p2p1/q1pPp2n/P1P1P3/1QN5/3BBNPP/1R4K1 w - - 0 1,-0.13,0.353,0.483,0.0,quiet_neg,opening,train
2r2rk1/4bp2/p6p/1p1R4/3nn1p1/4P1B1/PP1NBPPP/4R1K1 b - - 0 1,0.27,3.667,3.397,0.0,quiet_neg,midgame,train
2rq1rk1/1p1npp1p/p2pb1p1/3N4/3QP3/1BP2P2/PP4PP/R4R1K b - - 0 1,1.13,1.838,0.708,0.0,attack,opening,train
2rqr1k1/1b3p1p/pn1p1bpB/2p5/3P4/1P3N1P/P2QBPP1/2RR2K1 b - - 0 1,0.46,0.103,-0.357,0.0,mid,opening,train
3qr2k/p5r1/1pRp1n1b/1P1Pp2p/1P3p1P/2N1nP1Q/1R3BP1/5BK1 w - - 0 1,-1.37,-1.562,-0.192,0.0,attack,opening,train
3rk2r/1p2bp2/p1n1q2p/3pPbp1/3B4/2P3Q1/BN3PPP/R3R1K1 b k - 0 1,0.4,0.53,0.13,0.0,mid,opening,val
4r1k1/p4p1p/1p2q1pB/1Q2Pn2/P3B2P/5P2/bR3P2/6K1 w - - 0 1,-0.01,-0.095,-0.085,0.0,quiet_neg,midgame,val
5k2/p2b3r/1ppb1p2/1q1p1P2/1P1PrNpP/4P1P1/1RQ2BK1/2R5 b - - 0 1,2.03,-2.197,-4.947,-0.72,attack,opening,train
6r1/r2Nbnk1/2R3pp/p4p2/PpB2PP1/1P6/6K1/3R4 w - - 0 1,0.03,0.688,0.658,0.0,quiet_neg,endgame,train
q1r1r1k1/p2nppbp/1pnpb1p1/6N1/1PP1P3/P1N1Q2P/4BPPB/1R1R2K1 w - - 0 1,0.66,1.4,0.74,0.0,mid,opening,train
r1bq2k1/pp3rbp/2n1p1p1/1BBpPn2/8/2N2N1P/PP3PP1/R2Q1RK1 w - - 0 1,0.54,0.173,-0.367,0.0,mid,opening,val
r2q1rk1/2pb2b1/1p1p2pp/p1nP1p1n/2P5/2N1B1P1/PPQ1B2P/R3NRK1 w - - 0 1,-0.13,-0.906,-0.776,0.0,quiet_neg,opening,train
r2r2k1/ppp2pb1/2n1p1pp/1B2P3/3PNn1q/2Q1BP2/PP3P1P/2R1K2R w K - 0 1,-1.56,-0.95,0.61,0.0,attack,opening,train
r3r1k1/pp3pbp/2p3p1/P3p3/1n2P1n1/2N1B3/1PPR1PPP/R3N1K1 b - - 0 1,0.15,0.182,0.032,0.0,quiet_neg,midgame,train
r4r2/p1n1q1bk/6pp/1pp2b2/2P1p3/P3N1P1/R2QPPBP/2BR2K1 w - - 0 1,-0.01,0.258,0.268,0.0,quiet_neg,opening,val
r4rk1/ppq1ppbp/1np1P1p1/2Nb4/Pn6/3B1N1P/1PP1QPP1/R1B1R1K1 b - - 0 1,0.52,0.362,-0.158,0.0,mid,opening,train
1k1r1r2/p1p5/Bpnbb3/3p2pp/3P4/P1N1NPP1/1PP4P/2KR1R2 w - - 0 1,-0.08,0.301,0.381,0.0,quiet_neg,midgame,train
1q4k1/1r3pp1/3p1n1p/2pPpP2/b1PnP3/rPB1R1NP/3Q2PK/1R3B2 b - - 0 1,0.12,-0.175,-0.295,0.0,quiet_neg,opening,train
1r2r1k1/pb1n1pp1/1p1p2np/2P1p1q1/P1P1P3/2P2PP1/2QNBB1P/1R1R3K b - - 0 1,-0.69,-0.327,0.363,0.0,mid,opening,val
1r3rk1/p1qnppbp/p5p1/2pPP3/2P5/4R2P/PP2Q1P1/1RBN3K b - - 0 1,0.12,-0.221,-0.341,0.0,quiet_neg,opening,train
1rq2rk1/4bp2/2np2p1/p1p1p3/P1PNP1P1/1PB2P2/1Q4PK/R2R1N2 b - - 0 1,0.02,2.733,2.713,0.0,quiet_neg,opening,train
2r2r1k/1q1nbpp1/p3p2p/2P1P3/1p1N1B1P/6Q1/PP3PP1/R2R2K1 b - - 0 1,0.06,1.397,1.337,0.0,quiet_neg,opening,train
2r3k1/1p1nqp1p/1P4p1/Q2Pp3/1RbnP3/5P1P/3N2P1/5B1K w - - 0 1,-0.12,-0.937,-0.817,0.0,quiet_neg,midgame,train
2rq1rk1/4ppbp/p5p1/1p1b4/2NP4/P3B3/1P3PPP/1BRQR2K b - - 0 1,0.31,3.709,3.399,0.0,mid,opening,train
3r1r2/pkp4p/1np1p3/3P4/1b2N3/1P3P2/1B4PP/2R2RK1 b - - 0 1,0.3,0.507,0.207,0.0,mid,endgame,train
3rr1k1/p4bbp/1p1p4/3p1BPp/P2p1N1P/2P1P1K1/R1P5/3R4 w - - 0 1,0.48,0.619,0.139,0.0,mid,endgame,train
5r2/4k3/2qpp2b/pN2p2n/P3PR1p/2P5/6PP/QB2R2K b - - 0 1,0.7,3.191,2.491,0.0,mid,midgame,val
b2r1r2/6bk/p1n2ppp/q2p4/1p2PN2/1B2B1P1/P3QP2/1R1R2K1 w - - 0 1,0.18,0.815,0.635,0.0,quiet_neg,opening,val
q1rb2rk/1b3ppp/2n1p2n/p2pP3/B2P1PP1/Bp2RN1P/1RPNQ3/6K1 w - - 0 1,-0.67,-0.604,0.066,0.0,mid,opening,train
r1bq1rk1/1p1nbppp/p3pn2/P1p5/4p3/2NP2N1/BPPB1PPP/R2Q1RK1 w - - 0 1,0.15,-0.323,-0.473,0.0,quiet_neg,opening,train
r1qr2k1/4bp2/p1p1p1p1/2pb4/PP1P1P2/3NQ3/5BPP/R2R2K1 w - - 0 1,0.19,1.618,1.428,0.0,quiet_neg,opening,train
r2q1rk1/2pnbppp/p3p3/3b4/3P2P1/3QnN1P/PP1BPP2/RNR3K1 w - - 0 1,-0.62,-3.75,-3.13,0.0,mid,opening,train
r2r1k2/2b1npp1/p1np3p/1p6/3P1B2/P1N4P/1PBR1PP1/3qR1K1 w - - 0 1,0.0,-1.76,-1.76,0.0,quiet_neg,midgame,val
r4r2/5pk1/1bR1n1p1/Pp1Np2p/1P1pP3/8/5PPP/2R3K1 w - - 0 1,0.3,-4.065,-4.365,0.0,mid,endgame,val
r4rk1/pp1qppbp/2p1b1p1/n7/P2PpB1N/2P3P1/2P1QPBP/1R2R1K1 w - - 0 1,0.19,-0.096,-0.286,0.0,quiet_neg,opening,train
r6r/ppk1npp1/1b2p2p/2pnP2P/4N3/2p2N2/PPPB1PP1/1K1RR3 w - - 0 1,-0.06,1.295,1.355,0.0,quiet_neg,midgame,val
1R3b2/r4pk1/2qpn1p1/P1p1p2p/2P1P2P/5PP1/6K1/1Q1BB3 w - - 0 1,-0.24,-1.21,-0.97,0.0,quiet_neg,midgame,train
1q1rb1k1/5p1p/p3pnpb/P1r5/2B1P3/1P3P2/2R1N1PP/R2NQ2K b - - 0 1,-0.31,-0.286,0.024,0.0,mid,opening,val
1r3rk1/1nqb1p1p/p3p1p1/1ppPb3/2P1N3/1P1Q2PP/P2B2BK/1RR5 w - - 0 1,0.28,-1.11,-1.39,0.0,quiet_neg,opening,train
1rb1r1k1/2q1bp1p/3p1np1/p1nPp3/4P3/1PRB1N1P/3BQPP1/1R3NK1 w - - 0 1,0.3,0.588,0.288,0.0,mid,opening,train
2r1r1k1/1bq1bpp1/pp1pp1n1/2n3P1/2P1PP1p/BPN1QB1P/P1R5/3RN1K1 w - - 0 1,-0.28,-0.319,-0.039,0.0,quiet_neg,opening,val
2r2n2/6k1/1pNBbb2/3p1p2/3P1P2/P4KP1/2R5/4N3 w - - 0 1,0.57,1.763,1.193,0.0,mid,endgame,train
2r3k1/p2q1pp1/2p4p/1p1p1b1n/2PP4/P1QP1PP1/3B3P/4RBK1 b - - 0 1,-0.39,0.078,0.468,0.0,mid,midgame,train
2rr2k1/1p3pp1/p3b2p/3pP2Q/3B4/bqP5/1P1RB1PP/1K3R2 b - - 0 1,-2.1,-2.628,-2.328,-1.8,attack,opening,train
3r1rk1/4q1pp/1pb1p3/p1p1P3/P3pP2/1P2P3/4Q1PP/N2R1RK1 b - - 0 1,0.06,-0.339,-0.399,0.0,quiet_neg,midgame,train
3r3k/p3bppp/4q3/2p1P1Bb/3p4/P6P/1P1Q1PP1/1B2R1K1 w - - 0 1,0.35,-0.065,-0.415,0.0,mid,midgame,train
4r1k1/2R3p1/p4qnp/8/2P2p2/1Pn2Q2/5BPP/5N1K b - - 0 1,-0.42,0.246,0.666,0.0,mid,midgame,train
4r3/q4pkp/2p1bnp1/p3p3/PbP1P2P/4NNP1/1RQ2P2/5BK1 b - - 0 1,-0.15,0.869,1.019,0.0,quiet_neg,midgame,train
5k2/4rpp1/pp6/4b2p/4N1q1/2NRB1P1/BP3P1P/6K1 b - - 0 1,0.01,-0.158,-0.168,0.0,quiet_neg,midgame,train
5rk1/pb2qppp/1p2p3/7B/2P5/1P4QP/P4PP1/3R2K1 w - - 0 1,0.62,0.692,0.072,0.0,mid,midgame,train
7k/4r1p1/1p1b3p/p4q2/8/P5PP/1P1NQPK1/4R3 w - - 0 1,-2.23,-2.392,-1.962,-1.8,attack,midgame,train
b7/3r2bk/p2Np1p1/2B1p1Pp/qP2P2P/P2Q1RK1/8/8 w - - 0 1,0.19,0.556,0.366,0.0,quiet_neg,midgame,val
r1b2rk1/pp1p1ppp/4pn2/6q1/2PP4/P1N5/1PQ2PPP/R3KB1R w KQ - 0 1,-0.19,-0.324,-0.134,0.0,quiet_neg,opening,train
r2q1r1k/ppp3bp/3pb3/6p1/2Pn4/1PN3BP/P2QBPP1/3RR1K1 w - - 0 1,-0.26,0.767,1.027,0.0,quiet_neg,opening,train
r3k1r1/2q1bp2/2p1p1np/p1Pp2P1/Pp1Pn2P/1P2P3/1B2NNP1/R3QRK1 b q - 0 1,-0.23,-1.387,-2.417,-1.26,quiet_neg,opening,train
r4bk1/1p1nqp1p/p1p1b1p1/P3p3/2P1P3/1QN2PP1/1P5P/R4BBK b - - 0 1,-0.36,0.162,0.522,0.0,mid,midgame,train
1qr2k1r/pb3pp1/1b2p2p/3nP3/1p6/3B2QN/PP3PPP/R1BR2K1 b - - 0 1,0.62,-0.039,-0.659,0.0,mid,opening,train
1r4k1/3q2pp/2np4/2p1pp2/2P1P3/R1BP1Q1P/5PP1/6K1 b - - 0 1,-0.59,-0.805,-0.215,0.0,mid,midgame,train
2qn4/p5k1/1p1Qbpp1/1B1p3p/3P3P/2P5/P4PP1/4N1K1 w - - 0 1,1.38,2.364,0.984,0.0,attack,endgame,train
2r2rk1/2qbnppp/1p2p3/p2pPn2/P5QP/2PB1N2/2PB1PP1/1R2R1K1 w - - 0 1,0.36,1.179,0.819,0.0,mid,opening,train
2r3k1/pp2p1b1/q2pP1p1/3pnrPp/P7/1P5P/2PB1PB1/2RQR1K1 w - - 0 1,-0.62,-0.21,-1.03,-1.44,mid,opening,train
3bn1k1/1bq1npp1/3p3p/1p1Pp3/1Pp1P3/2P1B1NP/2BN1PPK/Q7 b - - 0 1,0.26,0.083,-0.177,0.0,quiet_neg,midgame,train
3qr1k1/5r1p/p1p1n1p1/Ppp1Q3/4Pp2/1P1P1N1P/2P2RPK/R7 b - - 0 1,0.18,-0.597,-0.777,0.0,quiet_neg,midgame,train
3r2k1/2q1rp2/4p1p1/2p1P2p/1p3Q2/1P1bP1PP/P4RBK/2R5 w - - 0 1,0.74,0.127,-0.613,0.0,mid,midgame,train
3rb1k1/2q1b1p1/pp2p3/5p1p/1PP1p3/P3Q1PP/4P1RK/3N1R2 b - - 0 1,-0.32,-1.022,-0.702,0.0,mid,midgame,train
4r1k1/p4bpp/1p6/1P6/2PQ4/4rPq1/PR2PRB1/6K1 b - - 0 1,-2.8,-2.689,-2.229,-2.34,attack,midgame,val
4rr1k/2q5/1pnn1b1p/p1p2b2/N1PppPp1/PP1P4/2QBPPBP/3R1RNK b - - 0 1,0.05,-0.363,-0.413,0.0,quiet_neg,opening,train
5r2/3br1kp/3q2p1/1pNp4/1P1Pnp2/5B2/2P1R1PP/2Q2RK1 b - - 0 1,-0.8,-0.164,0.636,0.0,attack,opening,train
6k1/5p1p/1p1n2pP/1n6/q1rP4/2pQP3/r1N2PP1/BRR3K1 b - - 0 1,0.43,0.715,0.285,0.0,mid,opening,train
b4rk1/2pq1pp1/3p3p/B1p5/2PpP1n1/3P2P1/PR1Q1PBP/6K1 b - - 0 1,-0.44,0.168,0.608,0.0,mid,midgame,val
q5k1/4bpp1/r3p2p/2p5/1pP5/1P3NPP/1RQ1PP2/6K1 b - - 0 1,-1.13,-0.711,0.419,0.0,attack,midgame,train
r1b2rk1/pp3pp1/1q2p2p/3n4/3b2N1/3B2Q1/PPP2PPP/R1B2RK1 b - - 0 1,1.85,1.032,-0.818,0.0,attack,opening,val
r2q1rk1/1p2n1bp/p1npp1p1/2p1p3/4P3/N1PPB1PP/1P3PB1/R2QR1K1 w - - 0 1,0.47,0.441,-0.029,0.0,mid,opening,val
r3k3/1p1n1p2/2p1r1p1/3bP3/3P3Q/8/p1B2PPP/R5K1 w q - 0 1,1.93,3.793,3.753,1.89,attack,midgame,val
r3r1k1/pn1bnpp1/1p2p2p/1q1pP3/2pP1P1N/B1P2BP1/2P3QP/R4RK1 w - - 0 1,-0.3,-0.652,-0.352,0.0,mid,opening,train
r4rk1/1p2qppp/1np5/p2pNb2/P2Pn3/2NBP3/1PQ2PPP/2R2RK1 b - - 0 1,-0.2,-0.031,0.169,0.0,quiet_neg,opening,train
1b2r1k1/1bqn1pp1/p1p4p/Pp2p3/1P2B3/2B1PN1P/5PP1/1Q1R2K1 b - - 0 1,0.38,0.328,-0.052,0.0,mid,midgame,train
