fen_start,sf_best,sf_cp,sf_static,cat,attackers,phase_bin,subject,stm
r3k2r/p1B4p/1pn1ppb1/2bq4/2Pp4/P2P1NPP/1P3P2/2RQKB1R b Kkq c3 0 17,d4c3,-23,70,play,3,opening,white,b
r3k2r/3np2p/1qp3p1/p4Nb1/3PQ3/B1N1P1P1/P6P/R4RK1 b kq - 0 21,e8g8,480,409,play,3,opening,black,b
r3k2r/5ppp/ppb2q2/n1bn4/4Q3/3NP3/PP3PPP/RNB1KB1R b KQkq - 5 15,c5e7,-26,,play,3,opening,white,b
3r1k1r/p4p2/3p2pb/2pNp2p/2P1P1qP/P1B3Pb/1P2QP2/R5KR w - - 5 32,e2d3,132,64,play,3,opening,white,w
3qr1k1/r2n1pPp/pp1pb3/2pNp1b1/2PnP3/1PNB1PP1/1B1P4/R2Q1K1R w - - 1 19,f3f4,169,-24,play,3,opening,white,w
r1r3k1/1pq2ppp/1p3n2/1B1p1b2/N7/PQ3N2/1Pn2PPP/2RR2K1 w - - 4 17,a4c3,142,100,play,3,opening,white,w
r3kbnr/pp1b1ppp/1q1p4/2pP4/Q7/2PBBN2/PP3PPP/R4RK1 w kq - 3 16,a4c2,192,240,play,3,opening,black,w
2r1r1k1/1b1q3p/p2Pppp1/1p5n/1PpP4/P3QNB1/3N1P1P/1BR2K1R b - - 3 26,e6e5,446,379,play,3,opening,white,b
r1bqk2r/pp1nppbp/6p1/2Pp4/Q4Bn1/P1P2N2/1P1NPPPP/R3KB1R b KQkq - 4 8,e8g8,-49,-11,play,3,opening,black,b
rn1q1rk1/4bppp/p1p2n2/1p6/3P1Bb1/1QNB1N2/PP3PPP/R3K2R w KQ - 2 12,d3e2,-21,6,play,3,opening,black,w
4k2b/1qp2p2/r1b1pn1p/1pPp1nrP/1P1P1Np1/2NBP1P1/1BQ2P2/2R1K2R b - - 44 40,f6e4,58,29,play,3,opening,black,b
rn1qk1nr/ppp2ppp/8/4b3/2PpQ1bP/P3P3/1P1P1PP1/RNB1KB1R b KQkq - 1 9,b8c6,-107,-112,play,3,opening,white,b
r3k3/p1b2p2/Pp1p1n1r/3Pp2p/2q5/2BBP3/1Q3P2/3RK1R1 b q - 2 33,c4h4,117,38,play,3,opening,black,b
rn2k2r/4pp1p/2pq2pb/8/p1pP2b1/2Q2N2/PP1NBPPP/R3R1K1 b kq - 1 15,e8g8,52,46,play,3,opening,white,b
r5k1/1p1b1p1p/6p1/2pP4/pnP1r2P/5N2/qb1QN1B1/5KRR b - - 1 34,a8e8,-735,-637,play,3,opening,white,b
r2q3r/1Qp1k3/3bpp1p/pB3b2/3Bp1n1/2P3P1/PP1N1P1P/R4RK1 b - - 3 15,e6e5,9,26,play,3,opening,white,b
r3k2r/pp3ppp/1q5n/2b1p1N1/1nB1Q1b1/4P1P1/PP1P1P1P/RNB1K2R b KQkq - 6 10,c5e7,-179,-73,play,3,opening,white,b
r4rk1/pQp1bp1p/2n2np1/5b2/2Pp1q2/3P1N2/PP2BPPP/RN2R1K1 w - - 0 13,b7c6,-14,-204,play,3,opening,white,w
r3kb1r/ppqb2pp/4p3/1P3p2/2PBB3/8/P1Q2PPP/1R3RK1 w kq - 0 19,e4f3,328,203,play,3,opening,black,w
r4rk1/p2n1ppp/4p3/1q3b2/3P1Q1B/5N1P/2P2PP1/R3R1K1 w - - 0 23,f3e5,-9,32,play,3,opening,black,w
3r1rk1/1p3bpp/3b4/1qpp4/p2p1PPP/P2P4/1PPB2B1/RK2RQ2 w - - 6 30,b1a2,-76,-112,play,3,opening,white,w
r3kb2/1p1bppp1/pq1p1n1r/n2P3p/P1PN3P/N1BBP3/1p1Q1PP1/1R3K1R b q - 1 19,e7e5,403,173,play,3,opening,black,b
r3k2r/pp3ppp/3b4/2p2bR1/2PnBp1P/Pq1P4/RP3Q2/1N2K1N1 w kq - 4 19,g5f5,-453,-453,play,3,opening,white,w
N1k2b1r/pp3pp1/2np1n1p/2P2b2/8/1P2BNP1/q3PP1P/3QKB1R b K - 0 13,f6e4,-314,-369,play,3,opening,black,b
1k1qr1r1/ppp3b1/6pp/2PP1p2/2Q2Pn1/P3PRN1/2R4P/2B1K3 b - - 8 33,g4f6,-69,-82,play,3,opening,white,b
r1b1k2r/1ppp1pp1/2n1pq1p/p5n1/PbPP4/1QN1BNP1/1P2PPBP/R3K2R w KQkq - 5 10,f3g5,134,112,play,3,opening,white,w
4k2r/r2n1p1p/3P1q2/pN1b2p1/4n3/p2B4/1PQ2PPP/R4RK1 w k - 0 23,d3e4,404,286,play,3,opening,black,w
r1b1k2r/pp1p1ppp/2n1p3/2P5/3N4/P1n1B1P1/1qPQPPBP/R4RK1 b kq - 4 14,c6d4,72,187,play,3,opening,black,b
2r1r1k1/pp1bqp2/3b1n1p/2pp2p1/Pn6/1PNP1NP1/3BPPBP/2RQ1RK1 w - - 2 17,c3b5,-30,-34,play,3,opening,white,w
r1bq2k1/1p2n1pp/3b4/P2P1nB1/4R3/2N5/P4PPP/2RQ2K1 b - - 0 19,h7h6,0,93,play,3,opening,black,b
r2qk2r/pp3pp1/2nb1n1p/2p5/3pP1bP/PPNP1N2/R4PP1/2BQKB1R w Kkq - 0 11,c3b1,-171,-205,play,3,opening,white,w
2r1r1k1/p3PR2/q2p2p1/2p3N1/b1PnP3/3P3P/PP1B2B1/1KQ1R3 b - - 0 28,c8b8,525,230,play,3,opening,black,b
r1b1k3/pp3p1r/n1p1pn1p/q2pN2P/1bPP1Bp1/P1N3P1/1PQ1PPB1/R3K2R w KQq - 3 16,e1g1,445,356,play,3,opening,black,w
r1q1kb1r/1p1b2pN/2n1p3/p3p2n/3PB3/PQN4P/1P3PP1/R4RK1 w kq - 0 18,e4g6,-53,59,play,3,opening,black,w
b3k3/2r5/3bpq2/3pNp1p/Pr1P1Pn1/3QPN1B/R6P/R2K4 b - - 1 35,f6d8,44,98,play,3,opening,white,b
1k3r1r/4bp2/P1p1p2p/3qn3/Pp1PN3/3BPQ2/2R5/R6K w - - 0 59,d4e5,169,-57,play,4,opening,black,w
r3k2r/pp3ppp/1qpbb3/3p3n/4P3/2NP1N1P/PP1PQ1P1/R1B2R1K w kq - 3 14,e2e3,-356,-218,play,4,opening,white,w
rn2k2r/1p1qpp2/2p2n1b/p1Pp1QNp/3P1B1P/1P2P3/P2N1PP1/R3K2R w KQkq - 1 15,f5c2,246,231,play,4,opening,black,w
r1b1k2r/2q2ppp/2nbpn2/p5B1/PpBP4/5N1P/1PQ2PP1/RN2R1K1 b kq - 0 14,e8g8,74,80,play,4,opening,black,b
1r2k2r/1pp2p2/p3p3/3qPb1P/Pb4p1/4P1Q1/1P1N1P1R/R1B1K3 w Qk - 0 18,g3f4,-362,-225,play,4,opening,white,w
r2qnrk1/pb1p1p2/1p2p3/2p1P2p/2Pn1Bpb/2NB1P2/PP4PP/R2Q1RK1 w - - 0 15,f3g4,-246,-128,play,4,opening,white,w
1q2k2b/2pb1p2/r1n1pn1p/1pPp2rP/1P1P1Np1/1QBBP1P1/3N1P1R/2R1K3 w - - 23 30,h2h1,74,25,play,4,opening,black,w
r2q1b1r/2pnk3/pp2p1Qp/3b2p1/3P4/2P2NN1/PP3RPP/R5K1 w - - 0 18,g3f5,484,35,play,4,opening,black,w
rbb2rk1/pp4pp/n1p2q2/2Pp3P/3pp3/1N2B1P1/PPQ1PPB1/R3K2R w KQ - 0 16,e3d4,-147,-243,play,4,opening,white,w
2rk3r/1b1pbp2/4pNp1/p3n1q1/1p2P2p/3PP2Q/PPN1BRPP/2K3R1 w - - 2 24,g1f1,-309,-234,play,4,opening,white,w
1k2r1r1/ppp5/1b4pp/3P1p2/5Pnq/P3PRN1/2Q1R2P/2B1K3 w - - 2 37,c2a2,-353,-316,play,4,opening,white,w
2r2rk1/pp1qbpp1/7p/8/P2pN1n1/1P1P4/1Bn1NPbP/RQ3K1R w - - 0 23,f1g2,-614,,play,4,opening,white,w
rnb2rk1/ppqn3p/2pbp1p1/3p2P1/2P4R/1P1BPN2/PB1P1P2/RN1QK3 b Q - 2 13,d7e5,13,106,play,4,opening,black,b
r4rk1/pp2qpp1/3b1n1p/2pp1b2/Pn6/1PNP1NP1/3BPPBP/R2QK2R w KQ - 9 13,e1g1,-80,-137,play,4,opening,white,w
r1q3r1/1p1npkbp/3pNnp1/pQ6/2PBp3/6PP/PP2PPB1/R4RK1 w - - 2 18,e6g5,272,278,play,4,opening,black,w
2kr3r/pp3pb1/2p3p1/q2pn1Np/P1PB2nP/1P2PN2/4QPP1/Rb3K1R w - - 0 19,a1b1,-57,-210,play,4,opening,white,w
rn1qk1r1/1b1pbp2/1p2pnpp/pNpP4/2P4P/1P1QPN2/PB2BPP1/3RK2R b Kq - 1 13,e7f8,387,291,play,4,opening,black,b
r3k2r/1p1n1p1p/p1p3pQ/2q1PbB1/2P5/5N2/PP3bPP/2KR1B1R w kq - 4 16,f1d3,144,46,play,4,opening,black,w
2kr1b2/pp6/nnp1bq1p/Q5r1/4B3/PP2P1Pp/3BNP2/1R2K2R w K - 3 24,a5c3,-491,-534,play,4,opening,white,w
r1b2rk1/1p3ppp/1b1qp3/p7/2Q2B2/1N4P1/PP2P1BP/R4R1K b - - 1 19,e6e5,352,402,play,2,opening,black,b
r1bqk2r/ppp1b1pp/2n1p3/3P1p2/P2Pn3/4PN2/1PQN1PPP/R1B1KB1R b KQkq - 0 8,c6b4,-31,-32,play,2,opening,black,b
2b1k2b/1p6/rq5p/p1pNnp2/2P3n1/PP2P1P1/Q4PB1/3R1RK1 b - - 4 20,b6d8,53,64,play,2,opening,white,b
r2qk1nr/1pp2ppp/2np1b2/p4b2/2P2Q2/2N2NP1/PP2PPBP/R1B1K2R b KQkq - 5 9,f6c3,26,25,play,2,opening,white,b
r3nrk1/pb1qbppp/1p2p3/1Nn5/2P4Q/P3PNP1/1B3PBP/R4RK1 w - - 3 17,f3e5,-43,-49,play,2,opening,black,w
4rrk1/pb4pp/np1b4/2pp1p2/3Pq1B1/PP2PNPP/1BQ2P2/R1R3K1 w - - 0 20,d4c5,-349,-124,play,2,opening,white,w
rnbq1k1r/1p3pp1/2pbpn2/p2p4/2PP3p/PP1BPN2/1BQN1PPP/R4RK1 w - - 0 12,h2h3,184,166,play,2,opening,white,w
r1b1kbnr/1p1npppp/1qpp4/p7/3PNB2/4PN2/PPP1BPPP/1R1QK2R b Kkq - 3 8,g8f6,34,60,play,2,opening,black,b
rn2k2r/ppqnppbp/2p3p1/6P1/P2Pp3/4P2P/1PPNBP2/R1BQ1K1R b kq - 1 12,f7f5,75,57,play,2,opening,white,b
rq3rk1/5ppp/b1pbpn2/3p4/p2P4/1P2QN1P/PBP1NPP1/R4RK1 w - - 0 15,a1b1,-90,-90,play,2,opening,white,w
r2n1rk1/1b4p1/pp1qp2p/2pn1pN1/P1BP4/2P2PN1/1PQ3PP/3RR1K1 w - - 0 20,g5e6,256,21,play,2,opening,white,w
r1b2rk1/1p1n1ppp/1q3b2/1p3P2/3Pp3/PQN1P3/1B3NPP/R3K2R b KQ - 1 19,f6h4,61,84,play,2,opening,black,b
r4rk1/p2nbppp/2ppb3/q1n5/Pp2PP1P/1P1PN3/1BP1Q1B1/RN2K2R b KQ - 0 15,f7f5,162,105,play,2,opening,white,b
1r2r1k1/p1qb1ppp/8/1ppPp1b1/4P3/PPN1NPP1/3Q3P/R3R1K1 w - - 4 33,h2h4,-26,-46,play,2,opening,white,w
r4rk1/p4p1p/1pnq2p1/4pb2/P1PpN3/1P3Q1P/1B3PP1/R4RK1 b - - 3 21,f5e4,-231,-123,play,2,opening,white,b
rn2k2r/1pqb1pp1/4pn1p/p1Np4/2P5/PP2PN2/1B3PPP/R2QKB1R b KQkq - 0 11,c7c5,110,295,play,2,opening,black,b
r1b1k2r/1pqpppbp/p4np1/2p5/QnPP4/2N1PN2/PP1BBPPP/R3K2R w KQkq - 0 10,e1g1,151,124,play,2,opening,white,w
3rr1k1/pp1qbp2/2npb1pp/3Bp2P/2P5/BP2PPP1/P2Q3R/3R1KN1 b - - 0 23,g6g5,87,71,play,2,opening,black,b
rn1qk2r/1p2p1b1/2p1b2p/pP1p1pp1/3Pn2P/B1NQPNP1/P1P1BP2/R4RK1 b kq - 0 13,c6c5,-69,-17,play,2,opening,black,b
r4rk1/pb2bppp/1p2pn2/2pq4/2pP1B2/P1Q2NPP/1P2PPB1/2R1K2R b K - 1 15,b6b5,-193,-177,play,2,opening,white,b
1qr1k2r/p2np1b1/Pp2b2p/1Q1p2p1/2pP1pP1/2P1PN1P/1PBN1P2/2KR3R b k - 1 21,f4e3,151,101,play,2,opening,white,b
r1bqk2r/1pp3pp/2n1pp2/p2n4/1b1P3P/3QBNP1/PP1NPPB1/R3K2R w KQkq - 0 12,a2a3,82,52,play,2,opening,white,w
2r2rk1/p1qn1p1p/2p1pnp1/1p1p4/P2P1P2/2PBPQ1P/2P2P2/1RB1K1R1 b - - 0 16,b5a4,-175,-105,play,2,opening,black,b
r1bqkb1r/1p3pp1/2p2n2/p1np3p/P2Np3/1P2P1PP/RBPP1PB1/1N1QK2R b Kkq - 1 10,f8d6,-129,-101,play,2,opening,white,b
2rqkb1r/pp2pppp/3p1n2/3P4/2n1P3/2N2QPP/PP3P2/R1B1KB1R b KQk - 0 12,f6d7,53,72,play,2,opening,black,b
r1b2rk1/1p3ppp/pq2p3/2b5/3nB3/2Q2N1P/PPP2PP1/R1B2RK1 w - - 5 13,f3d4,52,26,play,2,opening,black,w
2kr1b1r/p2q3p/n1pp1n2/5Np1/2P1p3/2N1P2P/PP2BP2/R1BQK2R b KQ - 0 16,d7f5,162,268,play,2,opening,black,b
r1b1k2r/pp2pp1p/2n1q1p1/2p5/2P5/2bPBNP1/P4PBP/1R1Q1K1R b kq - 3 12,e6d6,-100,-83,play,2,opening,white,b
r3r1k1/1p3pp1/2p1bnnp/2N1p3/q1P3P1/2Q1B2P/P1R1PPB1/5RK1 b - - 5 26,a4a3,139,64,play,2,opening,black,b
r2r2k1/pp1bbppp/nqp1pn2/3p4/1PPP4/P4NPB/1BQNPP1P/R4RK1 w - - 3 12,f1e1,167,128,play,2,opening,black,w
1rbqk1nr/5p2/p2ppb2/2p4p/1p1PP1p1/N1P1QP2/PP1N2PP/R3KB1R w KQk - 0 14,a3c4,-31,-85,play,2,opening,white,w
3qkb1r/2pp1ppp/b1p1pn2/Q7/3PP3/2N1B3/PrP1NPPP/R2K3R b k - 0 10,a6e2,-212,-56,play,2,opening,white,b
rqb2rk1/pp2bppp/4pn2/1N1p4/2Pp4/1P1P2P1/PB1QPPBP/R3K2R w KQ - 2 13,b5d4,183,121,play,2,opening,white,w
r1b1k1nN/6bp/p1n1p3/q1p2p2/p5P1/2P1P1B1/PPQ2PP1/R3KB1R b KQq - 0 16,a4a3,171,238,play,2,opening,white,b
r1bqk2r/pppn1pbp/6p1/3P4/8/3P1QP1/PP1B1PBP/RN2K2R b KQkq - 0 10,e8g8,-30,-28,play,2,opening,black,b
1r2kb1r/6pp/1qp2n2/p3Qn2/P7/2N5/1PP2PPP/R1B1R1K1 b k - 0 17,f5e7,277,,play,2,opening,white,b
r1bq1rk1/ppp1bppp/2n2n2/6B1/2Pp4/1Q1P1N2/PP2BPPP/RN3RK1 b - - 7 9,a7a5,-90,-63,play,2,opening,white,b
3krb1r/Q1p2pp1/1pbq3p/8/6B1/2P2N2/PP1N2PP/R1K4n w - - 0 18,f3d4,-353,-182,play,2,opening,white,w
r2qkb1r/ppp2ppp/4bn2/3pp1N1/2Pn4/6P1/PPQPPPBP/RNB1K2R w KQkq - 8 8,c2d1,-174,-47,play,2,opening,black,w
r4k1r/p2nqppp/bp1b1n2/1Npp4/3P4/P1BBPN1P/1P3PP1/R2QK2R b KQ - 7 13,a6b5,46,36,play,2,opening,white,b
rn2r1k1/1pq2p1p/2pp1bp1/3P1b2/pPP1P3/P2Q1N1P/3N4/2KR1B1R b - - 1 20,f5c8,-261,-267,play,2,opening,white,b
r3k2r/2q2p2/bppbpnp1/p2pN2p/PnPP1B1P/1P1BP1P1/3NQP2/R4RK1 w kq - 1 15,a1c1,53,66,play,2,opening,black,w
r3k2r/2p2q1p/ppnbbp1Q/3p2p1/3P1BP1/P1N2N1P/1PP5/2KR1B1R b kq - 0 19,d6f4,-186,40,play,2,opening,black,b
rn1qk1r1/5p1p/pp1bpnp1/3p1b1P/P2N4/2N1P3/1P1PBPP1/R1BQK2R w KQq - 2 12,e1f1,58,64,play,2,opening,white,w
r1b2rk1/pp2q1bp/2np2pn/1Np1p3/2P1Pp2/3P1N2/PPQBBPPP/R4RK1 w - - 0 12,h2h3,-113,-87,play,2,opening,white,w
2kr1b1r/1p3p2/p1nqb1pp/4p3/1P2P1nP/2PPB1P1/3Q2B1/RNN1KR2 b Q - 2 16,h6h5,-187,-133,play,2,opening,white,b
rnb1k2r/ppqnppb1/7p/2ppP1p1/8/3P1NPB/PPPNQP1P/R1B1K2R w KQkq - 3 9,e5e6,-36,-31,play,2,opening,black,w
r4rk1/1pp1q1pp/p2bpp2/4N2n/b1PPQ3/4PP1P/PB2N1P1/1R2K2R b K - 1 17,d6b4,-381,-137,play,2,opening,white,b
r3kb1r/1pq1pppp/4b3/p3N3/Q1pPn3/P1P1P3/5PPP/1RB1KB1R b Kkq - 1 13,e8d8,180,,play,2,opening,white,b
rn2r1k1/pp3pp1/1q3n1p/5Q2/3P1B2/P1N3P1/1P4pP/2KR3R w - - 0 18,h1g1,-92,-124,play,2,opening,white,w
1r3rk1/1pQnppbp/p2p1qp1/2p5/2PP3N/2N1P3/PPnBBPPP/5RK1 w - - 0 19,h4f3,246,-27,play,2,opening,white,w
r3k2r/2pn1pp1/qpNbpn1p/3p1b2/p1PP4/2Q1B1P1/PP1NPPBP/R3K2R w KQkq - 2 13,e3f4,68,25,play,2,opening,white,w
r4rk1/1pp3pp/1pnqbp2/8/P2P4/2P2N2/1P1QB1PP/R3R2K w - - 7 19,e2d3,34,25,play,2,opening,white,w
r1b1k1nr/p1q1bpp1/2pp3p/2p1p3/Q1N1P3/2PP4/PP3PPP/R1B1K1NR w KQkq - 2 9,f2f4,44,-8,play,2,opening,black,w
r2qk2r/1bp1bpp1/1pnppn2/pP5p/3PP3/1QPB1N2/P2N1PPP/R1B2RK1 b kq - 0 11,c6b8,164,90,play,2,opening,black,b
r2r2k1/1p2bp1p/p1pq1p2/3Np3/4P1B1/PnPQ3P/1P3PP1/3RR1K1 w - - 0 20,d5e7,283,182,play,2,opening,black,w
r3k2r/pp1n1p2/2bp3b/8/4pq2/2N5/PPP3PP/1K1RQB1R b kq - 1 19,f4e5,-353,-480,play,2,opening,white,b
r2qk2r/1pp1nppp/8/p2P4/1n2Q3/2b2NP1/PP2PP1P/R1B1K2R w KQkq - 0 14,b2c3,-5,,play,2,opening,white,w
1n2kbr1/rbppqp2/1p2pn1p/p3N3/2PP3P/P1N1P2Q/1P1B2P1/R3KB1R b KQ - 4 13,f6e4,71,101,play,2,opening,white,b
3r2k1/1b6/1p1b1qpp/pP1p4/P2Nrn2/4BNQ1/R4PPP/2R3K1 b - - 3 37,f4d3,-381,-159,play,2,opening,white,b
r1bqr1k1/pp3ppp/3p4/8/3P2n1/1QP2N2/P3BPPP/R3K2R w KQ - 0 15,b3b2,-67,-34,play,2,opening,white,w
r3kb1r/ppqn1pp1/2p2n1p/4pb2/2P4N/P1N1P1PP/1P3P2/R1BQKB1R b KQkq - 3 10,f5h7,-197,-109,play,2,opening,black,b
2r1kr2/p2q4/1pnppnp1/1Qp1p2p/2P1PP1P/2PPB1PB/P7/2K2R1R w - - 0 19,f4f5,179,94,play,2,opening,black,w
r2qkb1r/ppp3pp/n1n1ppb1/4P3/3p1B2/2NP1NPP/PPP2P2/2RQKB1R w Kkq - 0 12,c3e4,-49,-71,play,2,opening,white,w
rn1qkbnr/1pp2p2/p2pb1p1/4p3/3PP3/2NQ4/PPP1BP1P/R1B1R1KN b kq - 3 11,e5d4,-171,-83,play,2,opening,white,b
4kb1r/p2qp1p1/2Q2p2/3pB2p/P2P1P2/1r3N1P/6P1/Rb2K2R w KQk - 1 17,c6d7,-44,-210,play,2,opening,white,w
r1b2r1k/1p2q1pp/4Pn2/p1b5/8/1N3BP1/PP2P2P/R1Q2K1R w - - 0 20,c1c5,24,-396,play,2,opening,black,w
6k1/4npp1/pp1q3p/8/2P1b3/2br2PP/P3QP2/1R1RN1K1 b - - 1 29,c3e1,-331,-129,play,4,early_mid,white,b
3nkN1r/6r1/pq1p1Rp1/4p2p/Pp2P3/1Q2P3/1PP3PP/5RK1 w k - 5 23,f8e6,440,343,play,4,early_mid,black,w
3r2kr/5p2/8/2Nb3p/3b2p1/1P6/P3q1PP/2R1R2K w - - 0 42,e1e2,-527,-402,play,4,early_mid,white,w
4k1r1/p4p1R/p3qp2/Q7/P1P1p3/1P2P3/6rP/5R1K w - - 1 35,a5c7,105,71,play,4,early_mid,white,w
2r2bk1/pp6/5qp1/4pb2/8/nPBP2P1/P3QP2/2K1R2R w - - 1 31,e2d2,-669,-264,play,4,early_mid,white,w
2q1nrk1/5p1p/4b1p1/p7/3pP3/2bP3P/2Q1BPPB/1R1K3R w - - 0 29,e2g4,71,8,play,4,early_mid,white,w
2r2rk1/1p1b1pp1/1q2p2p/p1BpP2P/5P2/1PPQ1NP1/P7/4RK1R b - - 0 22,b6c5,-115,-81,play,4,early_mid,black,b
3rk2r/Q1pb1p2/B1p1p2p/p1Pp2q1/3P4/P3P1P1/1P5P/4RRK1 w - - 5 27,a7c7,270,156,play,4,early_mid,black,w
