fen_start,sf_best,sf_cp,sf_static,wing,color,surplus,phase,outside,stm
5k1r/1q1nbpp1/4pn2/pB5p/P2Qp2N/1P2P1PP/1B3P2/2R3K1 w - - 5 25,b5d7,481,275,qs,w,1,mid,1,w
2k3rr/pppn1p1p/8/3b2B1/3P1P2/2P5/PP4PP/RN2R1K1 b - - 0 17,h7h6,-35,56,qs,w,1,mid,0,b
r1bq1rk1/1pppnppp/p4n2/8/2PQ4/6P1/PP2PPBP/R1B1K1NR b KQ - 1 10,d7d5,-8,-13,qs,b,1,mid,1,b
8/4pk1p/3p1bp1/pR1P1b2/8/1P1r3P/R5B1/2K5 w - - 2 35,a2f2,-318,-246,ks,b,2,eeg,1,w
r3k2r/p5p1/1bpp1p2/3nq2p/7P/3NPQP1/PP1B4/5RKR b kq - 5 28,e5e6,-97,-141,qs,b,1,mid,1,b
1r2k2r/1bq2pbp/ppn1p1p1/2p1N1B1/8/5NPP/PPP1QPB1/R3R1K1 b k - 0 19,c6e5,368,297,ks,b,1,mid,0,b
6nk/4q1p1/1p4Qp/1Np1p3/P1PpP3/1P1P3P/5R2/6K1 b - - 0 39,g8f6,500,284,qs,w,1,mid,1,b
r4k1r/4R1pp/5n2/1p1Np3/2p1P3/1P4PQ/2P2P1P/6K1 b - - 0 24,f6d5,549,385,ks,w,1,mid,0,b
6k1/1pqNp1r1/2p1P1p1/p1P2b1p/P6P/3rQ3/6P1/5RKR w - - 9 43,e3h6,-181,-94,qs,b,1,mid,1,w
2r2k1r/4bp2/6p1/pQp4p/2P4P/1Pq1P3/P2RKPP1/5B1R w - - 2 27,g2g3,276,122,qs,w,1,mid,1,w
5k1r/1pr2p2/p1bR2pp/8/4P1P1/1P5P/P1PR2B1/2K5 w - - 1 33,e4e5,202,123,qs,w,1,eeg,1,w
6k1/5R2/3N2p1/r1P1p2p/4P2P/Pn6/1P3K2/8 w - - 7 45,c5c6,554,301,ks,b,1,eeg,0,w
6rr/2pk4/1p1pb3/pP6/R1BpP2P/5pb1/1PP2P2/R5K1 w - - 0 31,c4e6,-378,-331,qs,b,2,eeg,1,w
r3k2r/pp2qpp1/3b1n1p/2pp4/P2n3P/1P1P2P1/Q2BPP2/RN3K1R w kq - 2 15,b1c3,-519,-554,qs,b,1,mid,1,w
1k2r3/ppp2p1p/6p1/6P1/2P1P2P/P1NR2K1/1r6/8 w - - 0 33,c3d5,-384,-346,qs,b,1,eeg,1,w
1n1rkb2/pq5r/2p1p1p1/1p1pBp1p/1P1P3P/1NPBP1P1/R4P1R/Q3K3 b - - 5 29,b8d7,472,467,qs,b,1,mid,1,b
r1r3k1/pp2pp1p/3pb1p1/2P5/2q5/1R4P1/P3PPQP/1K3B1R b - - 3 20,c8c5,-99996,-613,qs,b,1,mid,0,b
r2qk3/1pp5/4b1p1/p2ppp2/P1P1N3/bP2PN2/4QP2/2K3R1 w q - 0 24,c1b1,-455,,qs,b,1,mid,0,w
r1bq1rk1/pp2bppp/2n2n2/2pp4/N7/PP1P1NP1/1BQ1PP1P/R3KB1R w KQ - 1 12,f1g2,-30,-56,qs,b,1,mid,1,w
3rr1k1/b1p2ppp/8/p1p5/2P5/2n1PBP1/PB5P/R3R1K1 b - - 1 28,c3e4,-35,-11,qs,b,1,mid,1,b
r5k1/5pp1/p2qbn1p/2p5/3p3P/PrN1P3/3Q1PPN/R4K1R w - - 0 22,e3d4,-544,-464,ks,w,1,mid,0,w
1rb1k2r/1q4np/1p2p1p1/p2p2P1/1b1B4/1QN5/PP2PPBP/2R2RK1 w k - 4 20,c3d5,538,264,qs,b,1,mid,1,w
3k1r1r/pR4np/3bp1p1/3PNp2/2P3PP/P2B4/5P2/4R1K1 b - - 0 32,g7e8,494,346,ks,b,1,mid,0,b
r3r1k1/n2bqppp/1ppp1b2/p1nPp3/P1P1P3/Q1N1BN1P/2B2PP1/3RR1K1 w - - 0 24,d1b1,7,8,qs,b,1,mid,1,w
2krr3/pp3pp1/2p5/3p2Pp/3P1P1B/4P3/PPK1N2P/R6n w - - 1 23,c2d2,365,47,qs,b,1,eeg,0,w
r1b1k2r/1p3ppp/2nq1n2/pBpp4/Pb1P4/1Q2PNPP/1P1N1P2/R1B1K2R w KQkq - 2 12,d4c5,-100,-136,qs,b,1,mid,1,w
rr4k1/5ppp/p4n2/2Q5/6P1/P1N5/1PKN2q1/R7 b - - 2 34,b8d8,-589,-559,ks,b,2,mid,1,b
4r3/3nkpB1/3p2p1/2p4p/r1B1PP2/p6P/P4KP1/2R5 w - - 0 38,g2g4,-316,-262,ks,w,1,eeg,0,w
r1bqk2r/1pp3p1/2n1pPn1/p1b4p/3p1B2/P2P1NPB/1PPNQP1P/R3K2R b KQkq - 0 13,g7f6,91,185,ks,w,1,mid,0,b
rn1k1b1r/p4pp1/1p1pp2p/1N6/1P1Pn2N/4B1P1/PP3P1P/R3K2R w KQ - 2 19,d4d5,22,10,qs,w,1,mid,0,w
r1b1k2r/5pbp/p3p1p1/qp1np1B1/3n4/1B1Q1N2/PP3PPP/RN3RK1 w kq - 0 15,b1c3,-152,-207,ks,b,2,mid,0,w
r2q1rk1/pp1b1ppp/2n1pn2/3p4/1bPP1B2/2N2N2/PP3PPP/R2QKB1R w KQ - 3 10,a1c1,-50,-51,qs,w,1,mid,1,w
r3r1k1/1pp2ppp/1n1qbn2/p2pN3/P2P1P2/3BP3/1PQB2PP/R3K2R b KQ - 0 15,f6e4,-36,4,qs,b,1,mid,1,b
r4rk1/pb1p1ppp/1p6/1N3R2/4n3/1P2P3/2n2PPP/3K1B1R b - - 1 19,c2b4,-553,-379,qs,b,2,mid,0,b
r1br2k1/pp2bpp1/1npp3p/q7/4PBn1/1PNQ1NP1/P1P2PBP/R3R1K1 w - - 5 14,f3d4,80,51,qs,b,1,mid,1,w
1r6/1pr4p/3kp3/4p1p1/PRB1p3/8/P1P2PPP/4R1K1 w - - 2 23,c4b3,548,477,qs,w,2,eeg,0,w
2rqkb1r/pp3pp1/2n5/2P2b1p/4pP2/2P1B1P1/PP2N2P/RN1Q1RK1 w k - 0 13,d1d8,33,24,qs,w,2,mid,1,w
8/3k1p2/1p3p2/1Pp2P2/2P2K1r/R4B1p/7P/8 w - - 4 53,f3g4,549,,ks,b,1,leg,0,w
8/p3p1kp/3p4/1PrP2p1/r3p3/4P1PP/3N1K2/3B4 b - - 4 36,a4a2,-702,-515,ks,b,1,eeg,0,b
1nk2b1r/2p2ppp/p3p3/N3n3/1P3P2/P1Pr4/3P2PP/R1B2RK1 b - - 0 19,e5g4,-346,-248,qs,w,2,mid,0,b
2k1r2r/qppb4/3p2pp/3P1p2/p2p1P1P/P2P4/1P2PPB1/1QR1K2R b K - 2 22,a7a5,9,-74,qs,b,1,mid,1,b
1r1qkb1r/ppp1npp1/2n1p1N1/1B1p4/3P2pP/1P2P3/P1PN1P2/R1BQK2R b KQk - 0 10,e7g6,-87,54,ks,b,1,mid,0,b
4n2k/rb3pp1/1p2r2p/pRp2N1P/2N1PP2/P3PP2/8/5K1R w - - 1 32,b5b6,149,191,ks,w,2,mid,0,w
8/5Rpp/6k1/6P1/1p2rp2/5K2/PP5P/2r5 b - - 5 46,g6f7,-684,-483,qs,w,1,eeg,1,b
2b5/1r1rk3/1p1p2pp/7n/P1PnpB1P/3P2P1/1R2P3/4KB1R w K - 3 27,f4h6,-162,-125,qs,w,1,mid,1,w
2r1k2r/pp2ppb1/3pbn1p/2n4B/2P1P3/4R3/P2N1PP1/3Q1K1R b k - 0 18,f6h5,180,118,qs,b,1,mid,1,b
3rnk2/Npn2p2/1N1p2p1/3P4/1P4P1/P4P2/3Q2K1/b7 b - - 2 37,f8g8,337,326,qs,w,1,eeg,1,b
r3kb1r/pp1b1p1p/4pnp1/q2pN3/3P4/1QN1P1P1/1P3P1P/2R1KB1R b Kkq - 1 18,a5b4,-124,-51,qs,b,1,mid,1,b
r7/2Pb1p2/3k2p1/P3p2p/2B1P3/5PP1/8/5K1R b - - 4 42,a8a5,0,21,ks,b,1,eeg,0,b
r5k1/2pp2pp/pp1qp3/4np2/2P5/P1NPB3/1P2QKPP/3R4 w - - 0 22,f2f1,296,273,ks,b,2,mid,0,w
r3r1k1/1p1n1p2/p1p3pp/4Pb2/2P1P3/2B2N2/6PP/3RKB1R b - - 0 23,f5e6,278,319,ks,w,1,mid,0,b
3r1rk1/2R2ppp/pq2pn2/nb6/1Q1PB3/Pp2PN2/1P1N1PPP/2R3K1 b - - 4 22,d8b8,334,258,qs,w,1,mid,1,b
2r1r1k1/1p3p1p/2bB1np1/p6n/1PBb3P/P3PP2/3N1P2/3RK2R b K - 13 29,d4c3,-432,-445,ks,w,1,mid,0,b
rn2k2r/pp3p2/2p2p1p/4qb2/4N3/3P2PP/PP2PPB1/R2QK2R b KQkq - 0 15,b8a6,197,160,ks,w,1,mid,0,b
1r2k1r1/3nppbp/Bp1pb1p1/8/2P5/2P1P1N1/P2B1PPP/R3K2R b KQ - 2 15,b8a8,-105,-107,qs,w,1,mid,1,b
3r2kr/p1qn2p1/1bp1bp2/2p1p2p/Q1N1P2P/1PBPNRP1/P1P5/2K1R3 w - - 16 38,e1g1,164,99,qs,w,1,mid,1,w
2r2rk1/pp3ppp/2q1p3/3n3b/3P4/1Q1B3P/PP1N1PP1/R3R1K1 w - - 1 19,d3e4,16,-7,qs,w,1,mid,1,w
r4k1r/1pBqn1p1/2b1pp2/3n3p/P3PN2/1Q5P/1PB2PP1/R2R2K1 b - - 0 29,g7g5,360,355,qs,w,1,mid,1,b
r1bqk2r/1pp2pp1/3bpn1p/8/p2P4/P2B1N2/1PP2PPP/R1BQ1RK1 w kq - 2 11,f3e5,99,59,qs,w,1,mid,1,w
N4b1r/4nkp1/1qb2n2/p2p1p1p/1P3P2/P3PB2/1B1Q2PP/2R1K1NR b K - 0 20,c6a8,465,358,ks,w,1,mid,0,b
7k/6p1/7p/p1pq1p1P/pr1p2nN/3P2P1/4PP2/2Q2KR1 b - - 3 48,d5b7,-589,-363,ks,w,1,mid,0,b
2k4R/pp1b4/1n6/1P1r2p1/5P2/6P1/4B3/5K2 b - - 1 38,c8c7,-375,,qs,b,1,eeg,1,b
2q1r1k1/1bb2ppp/4nn2/p2p1N2/P3P3/2Q2PPP/1P3B2/R2R2K1 w - - 0 32,a1c1,-231,-171,ks,w,1,mid,0,w
5r2/r5p1/2k3Pp/p1p1bP1P/RpPp4/1P3R2/8/5K2 b - - 1 53,d4d3,-524,-539,ks,w,1,eeg,1,b
1k1rr3/ppb5/4bBp1/1P3pPp/P1P1pP1P/3p4/3P1RB1/2R1K3 b - - 3 31,d8c8,-301,-204,qs,w,1,mid,0,b
4rk2/1p3pp1/5q1p/2pP1b2/Q3p3/2P1R1P1/2R2P2/4n1K1 w - - 0 41,c2e2,-105,-251,ks,b,2,mid,0,w
rn2kb1r/2qp1ppp/pp2p3/8/3NQ3/PP4P1/2P2P1P/R1B1KB1R b KQkq - 0 11,c7c3,-54,269,ks,b,1,mid,0,b
r4rk1/7p/n1p1qp2/B1bpnNp1/Q5P1/2P5/1P1N1PB1/R3R1K1 b - - 2 22,c5f2,289,282,ks,b,1,mid,0,b
1r3rk1/4bp2/pp3np1/n1pq1b1p/P3PB2/2P2P2/Q3N1P1/R4K1R w - - 0 28,e4d5,200,-287,qs,b,1,mid,1,w
6k1/6p1/8/1pr1p1R1/p3PP2/P1P4P/1R2K1P1/r7 b - - 0 36,a1a3,21,83,ks,w,2,eeg,0,b
2r1k2r/p2q1p2/1p1p1b2/1P1Ppbpp/PBPp4/3P2PP/5PB1/3RRQK1 w k - 0 24,f2f4,92,58,qs,w,1,mid,1,w
3r2k1/R7/2N2pp1/1p1n1b2/8/5P2/P5PP/6K1 b - - 0 33,d8d6,-340,-279,ks,w,1,eeg,0,b
r3k2r/1pp1npp1/1p1pb2p/1P2q3/2PpP3/PQ1B1P2/1B1P2PP/R3K2R w KQkq - 5 15,d3e2,29,25,qs,b,1,mid,1,w
8/R3Rpk1/2p3p1/p4r1p/5P1P/KP4P1/5n2/8 w - - 19 46,e7e5,344,251,qs,b,1,eeg,0,w
8/8/2k3p1/p1prN2p/P4r1P/1PR5/6K1/8 b - - 0 49,d5e5,-694,,ks,b,1,eeg,0,b
1r1q1rk1/Q3bppp/p2p4/P1pPp2P/4P1b1/R2P4/1Pn1NPP1/2BK1B1R b - - 6 16,c2a3,-403,-263,qs,w,1,mid,1,b
2kr3r/p5b1/2pp2pp/3q4/P2P1PP1/4BQ2/1PP3P1/R2KR3 b - - 1 27,d5f3,216,238,qs,w,1,mid,0,b
8/4n3/2p1k1p1/p1P2p1p/PP6/3N3P/5KB1/8 b - - 0 48,a5b4,466,309,qs,w,1,leg,1,b
3r1rk1/pp3ppp/2n5/2p3N1/1n6/4P1P1/PP2KPBP/3R3R b - - 3 18,c5c4,74,46,qs,b,1,mid,1,b
r2q1rk1/pp2ppbp/3p1np1/2p2b2/2P1P3/1PNQ1NPP/PB3PB1/R3K2R b KQ - 0 12,f6e4,211,407,qs,b,1,mid,1,b
r1bqk2r/ppp1bpp1/5n2/3P3p/1nB5/PQN2N2/1P1P1PPP/R1B1K2R b KQkq - 0 9,b4a6,302,170,qs,w,1,mid,1,b
r1q1k2r/1p1nppbp/2n1b1p1/pNPp4/1P1N1B2/P3P2P/2P1BPP1/R2QK2R b KQkq - 1 12,d7e5,264,184,qs,w,1,mid,1,b
1k1rr3/1ppq4/p1nn1b2/1P1p3p/P2P1Bb1/N1PB1N2/2Q3PP/4RRK1 b - - 0 20,e8e1,239,191,ks,w,1,mid,1,b
2rr2k1/pb3ppp/1q1bpn2/1p6/3P1n2/PP1B1N2/1B1N1PPP/R2R1QK1 b - - 14 19,f4d3,-202,-182,qs,w,1,mid,1,b
6Q1/3k1p2/5P2/p1r1b1P1/4P3/8/2r1K3/8 w - - 5 54,e2f3,-102,,ks,w,2,eeg,1,w
2r1kr2/pp1n2pp/2p1bq2/3n4/1b1Q4/1PN2NP1/PB2BP1P/2R1K2R b K - 5 20,e6h3,-36,-136,qs,b,1,mid,1,b
4k2r/Pb1qbpp1/2pPp3/Q7/3PB2p/5N2/PP3PPP/R1Rn2K1 w k - 1 26,a7a8q,842,527,ks,b,1,mid,0,w
2rq1k1r/5p2/3p1Ppp/pppN4/4P3/3PQ1P1/PP5P/1KR5 w - - 0 30,h2h4,108,42,qs,b,1,mid,0,w
8/1r1k4/6p1/5p1p/2P5/2bPB1P1/4K2P/5R2 w - - 0 28,d3d4,224,168,ks,b,1,eeg,0,w
1k3r2/8/1p2r1p1/4b1Pp/1PR1KP2/P6P/5B2/2R5 w - - 0 56,f4e5,594,205,qs,w,1,eeg,0,w
2k4r/p2rpp2/1pn1bbp1/2p1N3/2P3q1/Q2PB3/PP2BP2/2KRR3 b - - 1 19,f6e5,51,31,ks,b,2,mid,1,b
rq1n3R/pp1bkp2/3pRp2/7B/2P2B2/PN6/1PQ3P1/5K2 b - - 0 25,d8e6,556,,ks,b,1,mid,0,b
8/8/5R2/p1bkp2r/P3p3/8/1P1BKP2/8 b - - 1 52,h5h1,0,-10,qs,w,1,eeg,0,b
4rrn1/2ppqp1k/1pb4p/p1b4Q/2B1PPNP/P1PP4/1P4P1/R2KR3 w - - 7 23,d1c2,71,24,ks,w,2,mid,0,w
2rr1bk1/7p/p4pp1/2p5/2PpqP1P/P4NP1/1P1RPB2/2K1R3 w - - 0 28,g3g4,-602,-527,ks,w,1,mid,0,w
7r/3n1p2/2N1pk2/1P1p1p2/7p/R2P2PP/5PK1/8 b - - 2 35,h4g3,84,48,ks,b,1,eeg,0,b
r1r3k1/4q1pp/1pb1pp2/p2p4/P1nP1B2/2P3Q1/4NPPP/R4RK1 w - - 0 21,h2h4,-206,-221,ks,b,1,mid,0,w
r4rk1/5pp1/pp2pn1p/4N3/1P1P4/2N3Pb/5P1P/R1R3K1 w - - 1 21,f2f3,-58,-77,ks,b,1,mid,0,w
N4rk1/pp1bp1bp/3p1np1/2n2p2/P2P3P/6P1/qP1BNPB1/2RQ1K1R b - - 0 16,c5b3,185,148,ks,b,1,mid,0,b
1r5R/3n1p2/5k1N/6p1/4B2p/2N1P2P/2K4b/r7 w - - 2 48,h6g4,-126,-147,ks,b,1,eeg,1,w
7Q/4kp2/4p1p1/1p4Pp/p4P1P/P7/1P5K/3q4 w - - 3 46,h8e5,-169,-124,ks,b,1,eeg,0,w
r4k1r/1pq1ppbp/p5p1/3Ppn2/2R2P2/P1N5/1PPN1BP1/R1Q3K1 b - - 0 25,c7b8,400,406,ks,b,3,mid,0,b
5k2/p3rp1p/6p1/3R4/4b3/1P4P1/P4P1P/6KB w - - 0 30,h1e4,261,163,qs,w,1,eeg,1,w
1r3k2/1bn1b3/4p1n1/5pp1/BP1P4/P1P3Pr/4QK2/2R1R3 b - - 1 33,h3h2,-444,-176,ks,b,2,mid,0,b
1r2r3/1p4k1/p2p1ppp/2pPp3/2PbP3/PNN3B1/2R2PPP/6K1 b - - 1 28,b7b5,-54,68,qs,b,1,eeg,1,b
8/3k1p2/bpn1p1p1/2p1P1K1/4PP2/PP3NP1/8/2R5 b - - 2 42,a6e2,436,410,ks,w,1,leg,1,b
8/6k1/5p1p/2Nnp1p1/8/5PP1/7P/6K1 w - - 1 44,g3g4,-28,-40,ks,b,1,leg,0,w
1br5/3n1pk1/4p2p/NR2P3/1P3p2/3N3P/4K1P1/8 b - - 0 30,g7f8,14,26,ks,b,1,eeg,0,b
1b1r4/1P2k2p/2R3p1/2P1p3/4p3/5PP1/7P/1R4K1 w - - 0 39,f3e4,579,561,ks,b,1,eeg,0,w
8/3r2pk/p6p/1p2B3/PPb3R1/5P1P/6PK/8 w - - 4 49,a4a5,101,51,ks,w,1,eeg,0,w
1k6/p1p3p1/1p3p2/3r4/1Pn1p1R1/P2rP3/4K1PP/RNB5 b - - 7 32,f6f5,281,148,qs,b,1,eeg,1,b
6k1/1pp4p/6p1/p1q1pp2/PrPn4/3P3B/1r3PPP/R2QR1K1 w - - 6 32,a1c1,-401,-307,ks,b,1,mid,0,w
r3k2r/p2Bp1bp/3q1np1/5p2/Q7/2P5/PP1NNPPP/2R1K2R b Kkq - 0 16,d6d7,91,,ks,b,1,mid,0,b
1r3k2/p3Rpr1/2Bp2pQ/1pp5/1qP3P1/4P3/1P1K1P1P/7R w - - 1 30,d2d1,0,,qs,b,2,mid,0,w
4kbnr/2p4p/2b1pp2/6p1/2pP4/2B5/1P1N1PPP/2K2B1R w k - 4 20,f1c4,-19,-1,ks,b,1,eeg,1,w
3r4/ppkr2p1/4pq2/n1p1p2p/P2PP3/2P2P2/Q3N1P1/R2R2K1 w - - 0 25,a1b1,-147,-93,ks,b,1,mid,0,w
8/r4p1k/6p1/7P/1Q6/6P1/5PK1/8 b - - 2 40,a7d7,514,424,ks,w,1,eeg,0,b
2k3r1/ppp4p/5R2/1P2p2p/P1Pr4/3PK3/3R2P1/8 w - - 2 42,f6f5,0,-26,ks,b,2,eeg,0,w
2r1k3/p1Pn1p2/1p2p3/2q4r/4Q2p/PRP3p1/1NP2PPP/3R2K1 w - - 0 29,b2d3,-89,-101,ks,b,1,mid,0,w
rn2k2r/4ppb1/2p1b1p1/1p2N2p/1p2PP2/P2B3P/2PKNP2/3R3R w - - 0 19,a3b4,42,-187,qs,b,1,mid,0,w
4r1k1/pp4pp/q2b4/2p1rb2/PnPpN3/1P1P2PP/1Q2P1B1/R4RK1 w - - 2 22,b2d2,-431,-304,ks,w,1,mid,0,w
5k2/5p2/1p1p2p1/pr2q3/4P1R1/1PR2B2/1P1K1PP1/8 w - - 0 44,f3e2,-393,-269,qs,b,1,eeg,0,w
8/8/8/2r2kp1/7p/1R3K1P/8/8 w - - 10 63,f3g2,0,-2,ks,b,1,leg,0,w
8/7k/pp2n1p1/6p1/5r2/P5RP/4PKB1/8 w - - 2 44,f2e1,-55,,qs,b,1,eeg,1,w
2r1k3/p4p2/P2b3p/Rp3p1P/5Pr1/1B2n1PR/1B2P3/6K1 w - - 5 34,g1f2,96,76,ks,w,1,mid,0,w
8/2n5/3k2p1/P4p1p/2K2P1P/8/3B4/8 w - - 11 69,d2b4,343,177,ks,b,1,leg,1,w
4r1k1/pp4pp/2p5/2p4b/1PP4P/6q1/PK1Q2B1/6N1 w - - 0 29,b4b5,-636,-576,qs,b,1,mid,0,w
1r5r/p5p1/1p1QBnk1/8/7p/2P5/P4PPP/3R2K1 w - - 7 27,d6d3,99995,732,ks,w,1,mid,0,w
r1b1k2r/1p3p1p/6p1/p3P3/P4Pn1/RNP5/1P2P2P/4K2R b Kkq - 0 19,f7f6,-369,-318,qs,w,1,eeg,1,b
8/8/1p6/p1p5/P1Pb4/1Bk5/7K/8 w - - 3 76,b3d1,-569,-363,qs,b,1,leg,1,w
4r1k1/5p2/1p1r4/p7/Pn3P2/1P3KP1/8/2R1N3 w - - 1 44,f4f5,-534,-477,ks,w,1,eeg,0,w
r3r1k1/1p4np/p1p2qp1/P1Pp1pRn/1P1P3P/2BQPP2/5P2/3R1K2 w - - 2 27,f3f4,-417,-456,ks,w,1,mid,0,w
r3k2r/1pq2p1p/2p1pp2/p7/P1PP2n1/1Q1B4/1P3PPN/R3K2R b KQkq - 0 16,g4h2,-4,259,ks,b,2,mid,0,b
rn2k2r/1b3ppp/1p2pn2/p3b3/1P6/P1NBP2P/1BQ2P2/R3K1N1 w Qkq - 5 17,f2f4,453,443,ks,b,1,mid,0,w
4Bk2/2B4p/1p6/p1n5/Pr6/8/1b4PP/4R1K1 w - - 0 35,c7d6,23,29,qs,b,1,eeg,1,w
r1b2rk1/1p1n2pp/2pp1q2/p1b5/2PpPn2/P2B1N1P/1P1N1P1R/R1BQK3 w Q - 2 15,d1c2,-486,-428,ks,w,1,mid,0,w
1r4k1/1pR2p1p/p4p2/5N2/1P3P2/P4P2/4P1KP/8 b - - 2 39,b8e8,630,509,ks,w,1,leg,0,b
8/1p3pk1/p4p2/P4P1r/1r6/6P1/R5KP/8 b - - 2 40,h5f5,-633,-541,qs,b,1,eeg,1,b
8/2kn3p/2r4P/pq2pp2/3P4/P1R1R1Q1/K7/1rB5 b - - 2 43,b1c1,-533,-119,qs,w,1,mid,0,b
2krr3/pppqn2p/5pp1/3P1b2/5P1P/1QP5/PP1N2B1/2KR3R w - - 1 21,d2c4,8,-3,qs,w,1,mid,0,w
8/R1pkr1p1/1p1p4/7P/2bB4/5P2/2P3KP/8 b - - 0 30,b6b5,-73,-65,qs,b,2,eeg,1,b
2kr4/pp2qpp1/5n1p/2p5/P4B1P/1PNbbNP1/8/R1KR4 w - - 4 23,c1b2,-612,,qs,b,1,mid,0,w
5b2/8/1B5p/3kp1p1/1p3p2/P2b3P/1P4P1/2R1K3 w - - 0 40,b6a5,0,25,qs,w,1,leg,0,w
2k3r1/p1p2p1p/2n1pp2/1p1Pb2q/2P3r1/P4N1P/1P3PP1/R1B1RQ1K b - - 0 22,g4g2,-368,-81,qs,w,1,mid,0,b
6k1/5p1p/2pbr3/8/p2P1P2/3K3P/3B1PP1/R1b5 w - - 0 30,a1c1,158,58,ks,w,2,eeg,0,w
1r2r1k1/5pb1/1pnp3p/p1p1pPqQ/2P1P2R/RPBB2P1/3P4/3K4 w - - 2 31,h5f3,-38,-13,qs,b,1,mid,0,w
2R5/7p/5pk1/7p/2P3rP/6P1/5K2/8 w - - 0 57,c8g8,22,18,ks,b,1,leg,0,w
8/1r1nk1pp/4p3/pN2P3/Prp2P2/6P1/1PR4P/3R2K1 b - - 7 34,b4a4,73,94,ks,w,1,eeg,0,b
8/5p1p/p4P2/P5k1/8/1P2q3/5Np1/R5K1 w - - 0 55,a1b1,-385,-293,qs,w,1,eeg,1,w
8/3kpr2/p6p/8/P1R1NP2/7P/1P4P1/6K1 b - - 0 36,a6a5,592,567,qs,w,1,leg,0,b
8/6p1/p1p3k1/3b2Pp/1K1B3P/5P2/8/8 b - - 5 46,d5f3,0,-21,ks,w,1,leg,0,b
Nnbkr3/1p3p2/3p1q1p/p2P2pN/4B3/3Q2P1/P1P1PP1P/b3K2R b K - 1 15,f6c3,-351,-12,ks,w,1,mid,1,b
8/3nrkp1/3r1p2/pRp4p/3P3P/P1PKnP1R/8/2B5 b - - 3 33,c5d4,-526,-456,qs,w,1,eeg,1,b
6k1/1b4p1/p3pp1p/1p2N3/Pn1P3P/1PrB2P1/4KP2/3R4 w - - 0 31,e5d7,-213,-129,qs,w,1,eeg,1,w
