fen_start,sf_best,sf_cp,sf_static,cat,dist,stm
7R/1k1r4/p4R2/1p6/1Pp5/8/2K5/8 b - - 8 65,d7g7,458,374,clear,3,b
6k1/3r1pp1/pn4p1/2NP2Pn/7P/1P3N2/P1Pb1P2/3R1K2 b - - 0 30,d7d5,-22,195,clear,3,b
8/5p2/1p4kp/p2p1r2/7Q/8/4qB2/6K1 w - - 1 75,h4g3,-978,-449,clear,4,w
8/4kp1P/8/p2b2n1/P5P1/2r5/2p2RK1/2R5 w - - 1 53,g2f1,-184,,clear,1,w
8/1kp5/1p2R2p/p1P2p2/7P/P7/5r1r/4K3 w - - 0 44,c5c6,-99995,-404,clear,4,w
2b1r1k1/Rr2B3/5ppp/3P4/p1B5/P7/5PPP/2R3K1 w - - 4 31,d5d6,785,550,clear,3,w
8/2k2p2/2bp1p2/Ppp1bP2/2P1P3/1P1PB3/2K5/r7 w - - 2 47,c4b5,-752,-401,clear,3,w
8/4k2P/8/pp2qp2/8/5P1K/6P1/1R6 b - - 1 50,e5h8,-516,-212,clear,1,b
k1b5/8/1pN1p3/pP6/P1pP4/5RP1/3K4/r7 b - - 7 60,a1a2,314,146,clear,3,b
B7/3Pk3/7p/p3K3/2r2p2/8/3P4/8 b - - 5 63,a5a4,-579,-559,clear,1,b
2q2rk1/1p5p/p1p2r1b/P1PnR3/3P1P2/1R3PB1/4N2P/Q4K2 w - - 23 64,a1b1,127,75,clear,4,w
8/8/1R6/1pP2k2/p4P1r/4K3/8/8 b - - 1 46,h4f4,-1,-13,clear,3,b
8/1R5p/1pN4k/pPrp2p1/P1p1p3/2P1P3/3K4/8 w - - 0 45,b7b6,484,335,clear,4,w
8/2R3kp/5p2/7p/2P1K2P/2r3P1/8/8 b - - 23 68,g7g6,22,,clear,4,b
4kb2/8/2R4p/3Pp1pP/4Pp2/5PP1/3r1B2/5K2 w - - 5 50,g3f4,331,229,clear,3,w
6r1/5p2/5p2/RP3Bp1/P2kP3/8/7K/8 b - - 0 44,d4c5,500,317,clear,3,b
4r2k/R6p/4P1p1/1p6/6n1/2P2rP1/P1B4P/2K1R3 w - - 0 33,a7c7,399,348,clear,2,w
1r4k1/5p1p/2Bqp3/pPp1np2/Q6P/3P4/1PP3P1/2K2R2 w - - 6 27,b2b3,30,69,clear,3,w
1B6/8/8/3k4/1p1nb2K/8/1r6/5R2 b - - 9 69,b4b3,-514,-450,clear,3,b
4k3/p2n4/8/r4p1p/5R2/P1R2pP1/7P/6K1 b - - 1 40,e8e7,364,373,clear,2,b
4r1k1/r2q1p2/1p4p1/2p1b1B1/1nP4P/1P1p4/5RP1/1BQ2RK1 w - - 0 33,g1h1,-277,-228,clear,2,w
4r2k/1p6/p2q4/3N3P/4p2P/2P2r2/PP2Q3/1K1R4 b - - 0 34,d6g3,-194,-150,clear,3,b
6r1/3PR3/2K5/2P2k2/p7/P7/1P6/8 b - - 0 89,g8f8,933,696,clear,1,b
8/R7/8/p1k3P1/2P4K/1r6/8/8 w - - 3 60,a7a5,480,236,clear,3,w
4r2k/3R4/7P/1p6/p7/P1P5/4b3/KB6 w - - 25 64,b1g6,251,198,clear,2,w
rn2kb1r/1p6/2pPpqpp/3bB3/p1PP4/3B3P/PP3PP1/R2QR1K1 b kq - 1 18,f8d6,669,462,clear,2,b
8/3k4/8/3p4/1r1P2P1/3R4/5KP1/8 b - - 1 54,d7e6,368,199,clear,4,b
4r3/8/p4pk1/6p1/2P2n1p/2K5/2N2P2/7R b - - 1 45,a6a5,-361,-389,clear,3,b
1r4r1/3kp3/4p1Np/2p1P3/Pn6/1Pb1P3/4R2P/3K2R1 b - - 0 30,d7c7,-446,-434,clear,4,b
B7/2k5/4pp1p/1P3np1/4KP2/3N2P1/7P/8 w - - 2 58,d3c5,430,453,clear,3,w
n3r3/R5pk/3B1r2/p1P5/P7/2P4P/8/1R4K1 b - - 0 35,f6g6,390,350,clear,3,b
8/2P5/8/2q4k/6p1/7p/5Q2/6K1 b - - 4 74,h3h2,0,-21,clear,1,b
5k2/3P2p1/3n4/3n3p/3N1P2/6P1/PP5P/4R1K1 b - - 0 35,d6b7,812,690,clear,1,b
1b5k/3B2pp/8/4P3/7P/5RPK/4r3/8 b - - 16 58,g7g6,385,54,clear,3,b
8/k7/7R/PPK2p2/8/3b4/8/8 w - - 1 63,h6h7,99983,517,clear,3,w
1k1r1b2/pp3p2/5p1r/N2P4/6p1/1R4P1/PP2RPK1/8 b - - 3 30,b7b6,392,95,clear,3,b
3rk1r1/2Rb1pbp/2p3p1/P1B1p3/2P5/1R3NP1/4PP1P/6K1 b - - 13 30,g7f8,481,328,clear,3,b
8/8/8/5N2/7k/7p/4r3/7K b - - 7 95,h4g4,-99993,,clear,2,b
1R3n2/6k1/1p2Q1qp/1PpP3b/2P2p2/6P1/5N2/4K3 w - - 2 56,b8b7,729,283,clear,3,w
6qk/7p/7R/p6R/6r1/1rN5/3P1P2/2K5 b - - 1 45,g4g1,-512,-342,clear,4,b
5r2/8/k7/1p3B1P/p5K1/4b3/8/3R4 w - - 12 68,h5h6,-38,-177,clear,3,w
8/1bk2p2/1R2pbp1/P2p3p/5P2/1PPK2P1/3R3P/8 w - - 6 38,b6b7,564,371,clear,3,w
4k1r1/nr3p2/3bpBn1/p1p5/2B1NP1p/2PP2Pp/RP6/3KR3 b - - 1 34,d6e7,-19,95,clear,2,b
2r3k1/7b/1p5p/2p3b1/Pq1rp3/2N1P3/3QP2R/3R2K1 w - - 0 37,d2a2,-450,-102,clear,4,w
rq2nrk1/1b3pbp/ppnpp1p1/1N6/QBPpP1P1/P4N1P/1P3PB1/R3K2R w KQ - 0 18,b5d4,-398,-403,clear,3,w
8/8/K1n5/p6k/P1p4P/3p4/1P6/1N6 w - - 2 46,a6b6,321,91,clear,2,w
8/4n3/2p5/1p2k1pp/3N4/4P3/1P4K1/8 w - - 2 49,d4f3,-450,-378,clear,4,w
6Q1/p7/1bPBn2k/4pqpp/8/1P2P3/2r2PP1/5RK1 w - - 0 35,b3b4,-212,-53,clear,2,w
5r1k/r5p1/p2RPn2/1p5p/1P3B2/P3PBPP/5K2/8 b - - 8 40,a6a5,257,190,clear,2,b
3k4/2p5/1pQp4/p2P2PP/P2b1PK1/8/5r2/8 w - - 4 52,c6a8,577,531,clear,3,w
1rr4k/p4p2/4pp2/q1P4p/2R1P2P/P5Q1/5PP1/2R2K2 b - - 4 38,a5c7,314,158,clear,3,b
8/4r1p1/7p/1k1KP2P/p5P1/1p6/8/2R5 b - - 3 58,b3b2,-585,-363,clear,2,b
2rqk2r/7p/p5p1/1p3pN1/1QbbpP2/P7/1P4PP/R1BBK2R w KQk - 2 22,d1e2,-241,-90,clear,3,w
1k1r2r1/p7/1pq2Pb1/B3p3/2PpP2p/P2B1R2/6PP/1Q4K1 b - - 10 39,d8f8,-187,-132,clear,2,b
5r1k/3B2pp/8/3RP3/3b3P/6P1/6K1/8 b - - 6 53,f8f2,104,47,clear,3,b
8/4n3/3k2p1/8/1pPNB3/3K4/8/8 w - - 1 62,d4b3,292,236,clear,3,w
2r3k1/p4ppp/R7/1PqPB3/2Pp4/1P1b2PP/6B1/5RK1 w - - 0 27,e5d6,527,123,clear,3,w
4k3/8/1R5p/8/1P1R1B1P/8/K7/5br1 w - - 5 44,a2b2,569,601,clear,4,w
1R6/6kp/4N1p1/5p2/1P6/b5P1/4K1bP/8 b - - 8 41,g7f6,408,,clear,4,b
r2r2k1/1p1q2pp/5B2/p2p1p2/7P/3Q4/PP3PP1/R3R1K1 b - - 0 24,g7f6,37,112,clear,4,b
8/7p/6k1/4R1p1/1p6/6P1/4R1KP/2q5 b - - 0 43,c1c6,-29,-5,clear,3,b
5Q2/2pk4/4p2p/P5p1/3P4/2q4P/6P1/5R1K w - - 4 36,f8c5,781,603,clear,3,w
8/5p2/1n1bp1kp/2Np4/1p1P2P1/5P2/3BK1R1/3r4 b - - 5 43,d1b1,-430,-360,clear,3,b
5k2/4r3/p1n3p1/1p2P3/PP1pKPP1/7P/8/3RR3 w - - 0 36,a4b5,525,544,clear,3,w
r1b1kb1r/2p2p2/p1n1p1pp/q2P4/4Q2P/P1p2NP1/1B1N1PB1/R3K2R w KQkq - 0 16,d5e6,447,274,clear,2,w
6k1/q7/6p1/PPbN1p1p/7P/2Q2KP1/5P2/8 b - - 2 62,c5f2,575,399,clear,3,b
r3kb1r/4pppp/n3b3/pp2N3/N1pP4/P3P3/5PPP/R1B1KB1R w KQkq - 0 14,a4c3,350,430,clear,3,w
2r5/5kpp/1R2p3/P2p4/1P1Pp3/4P3/5PPP/6K1 w - - 1 33,h2h4,570,468,clear,3,w
5rk1/6p1/7p/R7/1p1P3P/4RNP1/1n4r1/2K5 b - - 8 51,b2c4,-517,-160,clear,3,b
8/4k3/2n1p1p1/3pN3/1p1P1PP1/4b3/r1K1N3/5R2 w - - 2 46,c2b1,-159,,clear,3,w
R2R4/2r2p2/5kp1/P6p/7P/1K4P1/2P1r3/8 b - - 5 59,e2c2,0,62,clear,3,b
6k1/6pp/1p2p3/pP3p2/5P2/3PP1q1/3Kb3/3R4 w - - 0 39,d2e2,-726,-417,clear,4,w
8/P5p1/1P3p1p/4pk2/8/5q2/4pP1K/4Q3 w - - 9 54,h2g1,0,-25,clear,1,w
8/5K2/1N6/2B5/1p5p/2k4P/8/8 b - - 0 70,b4b3,612,342,clear,3,b
r1bnkb1r/3pppp1/1p5q/3PP3/p1BQ3p/PpP1PN2/3N2PP/R4RK1 b kq - 1 18,e7e6,-85,14,clear,2,b
2B5/8/6p1/4Kp2/8/7k/7P/8 b - - 2 52,h3h2,0,-2,clear,4,b
2r4k/pp4p1/7p/5p2/3rpP1P/2P4N/qPKB2P1/3RR3 b - - 1 26,d4b4,-665,-434,clear,3,b
8/5K2/R1p5/3k1P2/3P2r1/8/8/8 w - - 39 74,a6a8,457,83,clear,3,w
4k3/3R4/2PKp1p1/5p1p/3P1P1P/5P2/1r6/8 b - - 14 76,b2b6,732,472,clear,2,b
4r1k1/1p3ppp/p7/3P1bP1/1P4r1/P1N1P3/5P1q/2BRKQ2 w - - 14 38,c3e2,-432,-312,clear,3,w
8/8/8/5R2/p1k4P/1p3PK1/2r5/8 w - - 0 67,f5f4,-544,-365,clear,2,w
r5r1/5knR/3bp3/PpNp1p2/1P1P1P2/4B1P1/6K1/4R3 w - - 2 52,e1h1,298,317,clear,3,w
1r6/8/4RK2/6B1/5Pk1/8/8/8 w - - 23 108,g5h6,487,343,clear,4,w
8/4n2p/BPk1p1p1/P7/6P1/8/5P1P/6K1 b - - 2 33,e7d5,488,358,clear,2,b
1r3r1k/pp1b3p/5np1/2pPpp2/1q5P/1BNQP1P1/PP3P2/3RK2R w K c6 0 19,d3c4,-156,-54,clear,3,w
r7/pkbp4/1p6/1bp2B1Q/4PB2/2qR1PP1/5R1P/7K b - - 0 44,b5d3,39,230,clear,4,b
1k1r1r2/1q3n2/8/1NQPp2p/p3P1p1/P7/1P3PP1/3NR1K1 b - - 0 29,d8c8,4,146,clear,3,b
3r1k1r/p5pp/1p3n2/8/2Bp4/5P2/PP1R1PKP/3R4 b - - 4 31,d8d7,77,72,clear,3,b
6k1/8/5K2/6NP/5N2/6P1/8/r7 w - - 1 70,f4d5,444,384,clear,3,w
6Q1/1P6/2k5/8/7p/2P3b1/8/6K1 b - - 0 56,c6b7,631,285,clear,1,b
4k3/8/p2br1N1/2n2p1P/6p1/1p1P2P1/2r2P2/3R1K1R b - - 3 50,b3b2,-558,-454,clear,2,b
8/2r1pR2/8/1B6/P3p2K/4kP2/8/8 w - - 0 56,h4g4,363,388,clear,4,w
6k1/r7/4p1p1/4Pp1p/1n1N1P2/r2p4/2pR2PP/R3K3 w - - 2 53,d4c2,-727,-389,clear,1,w
8/2k1p2p/p2r4/1Pp1N2P/5P2/5K2/8/3n1R2 b - - 2 34,a6b5,-254,-104,clear,4,b
r4k2/5p1r/2n1q1p1/1p2P2p/p1p4P/3b1BP1/PB1Q1P2/R3R1K1 w - - 0 29,a1d1,44,149,clear,3,w
8/2B5/R7/6p1/p6p/5n1k/r6P/5K2 b - - 1 60,g5g4,-530,-413,clear,3,b
2r1k3/8/3R4/p7/4rP2/PPb3P1/4RQ1K/1q6 w - - 3 47,f2f3,5,37,clear,4,w
3k1r2/4bppp/1pR2n2/p7/3P4/4P1P1/bP3PBP/R5K1 b - - 1 25,a2b3,159,99,clear,4,b
r1bk3r/pp2np2/8/n2p2Q1/3Pp2P/2P3P1/PP2PPB1/R3K2R w KQ - 4 23,f2f3,529,624,clear,4,w
8/8/1p3p1p/1P2bkp1/rNK5/3RB3/8/8 b - - 1 61,f5e4,0,28,clear,4,b
3rk3/2P1b3/1p6/p2pqp1r/P3p1p1/4P1Pp/Q3BP1P/3R1RK1 b - - 0 32,e5c7,306,166,clear,1,b
1Q6/4kpp1/8/3p4/1p2p2R/6PP/P4P2/2q3K1 w - - 1 37,g1g2,544,,clear,4,w
1r2kb1r/6p1/4p2p/1pP5/1pnR1P2/2P3P1/P4K1P/RN3B2 w - - 0 24,c3b4,213,142,clear,3,w
8/5k2/PN3p2/1Pn5/8/K7/8/3r4 w - - 5 66,a3a2,-38,-79,clear,2,w
4R3/2k3p1/2p2p1p/p1n2P1P/p1B2PP1/2P5/1KPr4/8 w - - 6 36,e8g8,0,-3,clear,3,w
4R3/p1r3kp/1p2r1p1/5pP1/4n2P/R1p5/P1P5/4K3 w - - 0 31,e8e6,-43,-447,clear,4,w
8/3k2N1/3p4/p2b2p1/3P1p2/8/1K6/8 b - - 3 52,f4f3,-700,-683,clear,3,b
8/r5b1/2k1p1p1/p4p1p/3P4/3KPNPP/5P2/R7 b - - 0 30,a5a4,-32,-3,clear,4,b
5r1k/1p1q2pp/rbnpb3/p2Np3/1pP1P3/3P2P1/Q3N1B1/1R2K2R w K - 0 25,d5b6,-410,-495,clear,3,w
r2r2k1/5ppp/ppn1pn2/2qp4/P1Pp4/1P3PPB/2N1QP1P/R2R2K1 b - - 0 17,d5c4,-199,-143,clear,3,b
8/7r/8/3K4/1P6/5p2/1N1k4/8 w - - 0 67,b2c4,-714,-292,clear,2,w
8/8/8/8/2p5/3k1r2/K2p4/7R b - - 3 120,d3c2,-986,-538,clear,1,b
3n1b2/2k5/1p2p3/1Pp4N/4n2P/P3P2B/3PK3/R7 w - - 3 49,a1g1,551,576,other,4,w
8/4k3/R3P1K1/1r4P1/8/8/8/8 w - - 1 58,a6a3,449,376,other,2,w
1r3k2/1p3P2/p1q3p1/Pr5p/2ppR3/2P3P1/1P2Q2P/5R1K b - - 0 33,b5e5,-375,146,other,1,b
r7/8/2Nk2p1/1P3p2/p5p1/p5P1/K2B1P2/8 w - - 1 40,d2e3,243,164,other,2,w
7r/5pk1/1R2p1pp/1P1p4/3Pn1P1/3NP2P/r4PK1/3R4 w - - 1 31,b6a6,200,93,other,3,w
8/1p2kb2/1P4R1/2P3P1/5K2/5P2/8/8 b - - 0 44,e7d8,892,446,other,3,b
2r1k2r/pp2Pp2/2n3p1/7p/2P1P1b1/4qN2/PQ2B1PP/R3R1K1 w k - 0 19,g1h1,177,,other,1,w
8/5p2/bp1Np2k/p2pP2P/P2P4/1P4P1/2Bn1K2/8 w - - 7 53,g3g4,466,321,other,3,w
6nr/8/6p1/2RN3k/3P1RbP/6P1/1P6/6K1 b - - 4 49,g4f5,633,630,other,4,b
8/1p4p1/p6p/2pN3P/2P1r1k1/4p3/4K3/8 b - - 0 55,g4h5,-691,-413,other,2,b
3q3k/6pp/1ppp4/p7/r7/b1P4P/4QR2/1K6 w - - 0 44,e2c2,-515,-372,other,4,w
3r4/kp6/p4R2/5N2/3p2P1/2rK4/P6P/8 w - - 1 42,d3d2,-405,,other,3,w
5rk1/p4ppp/2p5/1n1r4/8/1P1pP1PP/PB1K1P2/R6R b - - 3 28,f8c8,136,69,other,2,b
8/p1n2k1p/1p1prP2/6p1/1PP2RP1/P4B1P/5P1K/8 w - - 0 35,f4d4,168,238,other,2,w
8/8/2k5/p7/1p5P/1K6/7r/2B5 w - - 6 82,b3a4,-639,-392,other,3,w
n7/4kbbp/8/p1N2p1P/P1P1p1r1/1PN1P3/1B3P2/4K2R b - - 0 29,e7d6,243,204,other,4,b
k7/P3K2R/7P/4r3/8/8/8/8 w - - 7 76,e7f7,0,,other,1,w
2r2k1r/4b1p1/2n2n1p/2p1p3/4PP2/2PBB1PP/Pp6/1K1R3R w - - 0 30,h1f1,-144,-137,other,1,w
3r1k2/2R2p2/R2n2pp/P2P4/5K2/6P1/7P/8 b - - 2 43,d6e8,505,399,other,3,b
5knr/1B2ppbp/3q2p1/B7/P2N2bP/3P1NP1/1P2PP2/2Q3K1 w - - 1 25,c1c4,394,333,other,4,w
3k4/8/2R1p1p1/r6p/3PBP1P/p3K1P1/r7/8 b - - 4 49,a2b2,-522,-484,other,2,b
5k2/6R1/8/2b1p3/5p2/3B1Pp1/6K1/8 w - - 39 100,g7b7,284,224,other,2,w
r6k/1p1bq2P/2pb1r2/p2p4/3n4/2NP1p1n/PPP1B1N1/1RBQK2R w - - 0 26,g2e3,-795,-618,other,1,w
8/8/k3r3/P4R1P/5Kp1/4P1P1/8/8 w - - 1 57,e3e4,613,618,other,3,w
7k/5bpp/1N6/1P2K3/p2NB3/8/6P1/r7 w - - 4 45,b6d5,205,11,other,3,w
8/6R1/8/8/3K2p1/6k1/8/5r2 w - - 2 68,g7g6,-452,-514,other,3,w
7k/7P/1p1rN2b/p1pP1p1r/P1P5/5K2/2B5/3R4 w - - 4 54,d1g1,-74,-54,other,1,w
6k1/5p2/1Q1pp2p/6p1/3PP1q1/2K5/8/8 b - - 0 46,g4e4,-511,-431,other,4,b
5R2/6k1/3p2p1/p3p3/Pp5P/1qb3P1/7K/5R2 b - - 5 62,e5e4,-615,-273,other,3,b
2r1k2r/p2pP1bp/nq2p1p1/2p5/2P4P/Pp1B1NP1/1PbB1N2/R1Q1K2R b KQk - 6 20,b6c6,334,249,other,1,b
r4r1k/4n2P/1np2b2/p3q3/P1p1PR2/2Qp2P1/1P1P3P/R1BbK3 w Q - 0 32,c3e5,-780,-479,other,1,w
8/3nk3/p3P3/2p5/1pPP2r1/1P4P1/7P/B2R2K1 b - - 0 44,e7e6,350,337,other,2,b
8/8/6k1/3p2Pp/2p4P/2P1KRP1/8/3r4 w - - 12 53,f3f6,185,115,other,3,w
8/R7/1p2k3/4Pp2/6p1/6pr/P5K1/1R6 w - - 0 35,b1b6,477,278,other,2,w
6k1/4Np2/1p4p1/1P1Q4/1p1P4/1P5p/4q2P/6K1 b - - 2 36,e2e7,-449,,other,4,b
7R/B1r1k3/P7/Rp1p2p1/6P1/2PK4/1r6/8 b - - 0 48,c7a7,583,307,other,2,b
8/8/5k2/R1p5/P2b4/5KP1/8/8 b - - 0 62,f6e5,568,396,other,4,b
7r/8/r2p1k2/2p1bPp1/2Nn4/P4P1P/R2B2P1/3R2K1 b - - 0 30,h8a8,35,82,other,3,b
7B/8/6k1/8/6Pp/7K/8/8 w - - 9 58,h3h4,1015,387,other,3,w
8/3K4/4p3/4R3/4R3/P4q2/4p3/4k1q1 w - - 0 76,e4e2,-641,-331,other,1,w
7R/1k1r4/4r2B/p3pp1P/2p1b3/P1P1P3/2P5/2K3R1 b - - 0 38,e6d6,0,1,other,3,b
8/5R2/4p2k/4P1pP/p2B4/1bP4P/r7/4K3 b - - 4 53,a2a1,-321,-193,other,3,b
7r/5R2/8/2kB1p2/2P2P2/1P2P3/6K1/8 w - - 3 42,f7f5,686,550,other,4,w
5b1r/1b1k2p1/1r1P1p2/p1p4p/2P2B1P/1P4P1/P2R4/2K2R2 w - - 0 28,f1e1,-298,-260,other,2,w
8/7p/3pNk2/R2P1pp1/P6P/2n1P1P1/1r3PK1/8 b - - 0 46,h7h6,0,57,other,4,b
8/R7/P3kp2/8/2K4p/8/8/r7 w - - 0 63,c4b5,0,-26,other,2,w
3r2k1/5pp1/7p/R6P/P7/1r2nBP1/8/5K2 w - - 0 34,f1f2,-564,,other,4,w
8/7R/pk6/1pbB1pp1/5r2/2P5/1K6/8 w - - 7 50,h7h6,-264,-345,other,4,w
8/4k2p/6p1/p7/r7/1R5P/5KP1/8 w - - 0 51,b3b7,0,-42,other,4,w
6k1/R7/5N1p/8/p6P/r3PKP1/5P2/8 b - - 2 39,g8f8,640,,other,3,b
6k1/8/p3r1p1/4qb2/1p2P3/Q3RR1P/6p1/6K1 w - - 0 49,a3b4,408,38,other,1,w
7R/2k5/6r1/r7/1RP3n1/5PpP/6K1/8 w - - 0 57,h3g4,476,15,other,2,w
R7/5pp1/3Bpbkp/p7/r5P1/3n1P1P/6K1/8 b - - 1 46,f6h4,-576,-496,other,4,b
8/k7/P3p3/R1p1P1p1/2PnK1P1/8/8/8 b - - 6 53,d4b3,523,384,other,2,b
1r3k2/5RR1/4pPp1/8/P1P1PPPr/7p/7P/7K b - - 4 47,f8e8,494,,other,2,b
r7/p2k4/3n1p1B/1P1p4/P2r4/8/4KPR1/8 b - - 0 31,d4a4,-585,-491,other,4,b
5k1r/8/p5Q1/Pp2P3/8/1pP5/1KBq4/8 w - - 5 42,g6f6,7,62,other,2,w
8/1p4bk/qP1p3p/2p3p1/p1PpP1b1/PQ1P4/6BR/4K3 w - - 0 35,b3c2,-173,-54,other,4,w
8/r1K5/2P1kP1R/8/2N5/8/8/8 w - - 3 55,c7b6,846,,other,2,w
2R5/2b2N2/1p3PP1/p2k4/Pn6/1P6/KB4r1/8 w - - 5 56,a2b1,317,,other,2,w
8/7p/5k2/1N3p2/5Kn1/8/4B3/8 w - - 4 63,b5c7,10,7,other,4,w
5k2/5p2/r2p1n2/p1pP1N1p/7r/2K2B2/PP2P3/8 b - - 1 38,h4f4,-705,-628,other,4,b
1r4k1/2p3P1/5p2/4p1p1/1r2q3/1P4P1/1QP5/2KR4 b - - 4 49,b4d4,-656,-422,other,1,b
8/2k5/2Pr4/2R4P/4PP2/8/4K3/8 b - - 0 63,d6h6,562,478,other,2,b
4r3/4rk1p/3R2p1/2N5/3Pp2P/1P2K3/8/6R1 w - - 2 38,d6d7,525,507,other,3,w
8/7p/4k3/RBp1B3/P4K1P/r1P3P1/2b5/8 b - - 4 62,c2b3,685,427,other,4,b
5nk1/5ppp/1p3q2/3Q2b1/2BP4/6P1/P2r1B1P/5RK1 b - - 3 35,f8e6,84,60,other,4,b
1b6/8/3kB3/4p3/4K3/5N2/8/8 w - - 23 103,e6c4,14,7,other,4,w
7R/8/5k2/4pb2/4K3/8/8/8 w - - 1 97,e4d5,28,,other,4,w
8/5k2/4r1p1/Q1p1q3/P1P3R1/1P5P/5PK1/8 b - - 0 37,f7g7,444,352,other,4,b
8/4k3/p3n2R/P6P/8/6K1/8/8 w - - 1 53,h6g6,640,443,other,3,w
2b4B/4b3/p3p1Bk/P3P2P/2p3K1/8/8/3R4 w - - 1 47,d1f1,99995,545,other,3,w
b7/4kp2/1K3p2/5P2/P1P2RPp/7r/P2B4/8 b - - 5 41,h3d3,103,128,other,3,b
8/p2k2K1/1pr3P1/5P2/4Q3/7r/P7/8 b - - 2 65,c6c8,554,309,other,2,b
5rk1/3Q1p1p/1p4p1/nP6/P3pP2/4q3/2B3PP/1R3R1K b - - 1 24,a5c4,513,308,other,3,b
5rk1/3b1pp1/p1n1rb1p/3N1q2/1p1P1B1P/5NP1/PP2BK2/2RQR3 w - - 3 24,d5f6,421,459,other,4,w
8/8/1p6/p2kp2R/r2b4/6P1/5PK1/8 w - - 0 50,f2f4,-572,-464,other,4,w
1k1r4/1R5p/p1R5/P1P1p1Pp/3p4/2nP4/3BBP2/5K2 b - - 0 35,b8b7,607,,other,3,b
8/3k4/2p3K1/6P1/P1R5/2P5/2r5/8 b - - 0 53,d7d6,495,349,other,3,b
1nk4r/4rp2/2p5/N1Pp1pP1/P2P4/1Q6/5PK1/7R b - - 0 35,h8g8,683,509,other,4,b
6k1/6P1/1p2r3/p1p3RP/P1P1K3/1P2P3/8/8 w - - 5 65,e4d5,677,,other,1,w
8/8/4k2p/2K1p3/2P1P3/3P2P1/2b5/8 w - - 8 60,d3d4,-502,-186,other,4,w
5r2/7R/7K/5k1P/8/8/8/8 w - - 7 96,h7b7,1,-1,other,3,w
3r1rk1/5pb1/7p/pp1P4/4PQ2/1P1B4/q3bPPp/1R1R3K w - - 0 41,d1d2,67,-171,other,1,w
1nb2q2/1p1k4/r2pp2N/1P3p1Q/p1PB1P1P/P2n2P1/7R/R4K2 b - - 0 32,b8c6,540,389,other,4,b
8/5kp1/4p1np/2prPp2/1p1P3P/1K3P2/5P2/2NR4 w - - 2 43,c1e2,-384,-208,other,3,w
5R2/3k4/3p4/p1pP4/P1P3n1/1P5p/7r/4R1K1 b - - 11 54,h2g2,0,-14,other,2,b
5k2/5p2/1r6/N1p1p3/P3n3/6P1/2P1BP1R/4K3 w - - 1 31,a5b3,479,420,other,4,w
5b2/7R/2k5/8/8/4Np2/5K2/8 w - - 56 87,h7f7,312,208,other,2,w
3r4/5kp1/2p2p2/2P1nP1p/pP5P/r3P3/2RNK3/5R2 w - - 4 43,f1d1,-183,-118,other,3,w
2r4r/5p2/2pk4/Q1bp3p/P3q2P/1P4P1/5PR1/3R1K2 b - - 13 42,e4c2,-483,-388,other,4,b
